web-scraper-order,web-scraper-start-url,version,code,url,url-href,period,type,credits,year
"1739375092-1","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204001","DIBUIX ARQUITECTÒNIC 1","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/113951/guia_docent_docnet","Primer quadrimestre","F Bàsica","6.0","Primer curs"
"1739375092-2","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204007","FÍSICA","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/113953/guia_docent_docnet","Primer quadrimestre","F Bàsica","6.0","Primer curs"
"1739375092-3","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204003","GEOMETRIA DESCRIPTIVA 1","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/113952/guia_docent_docnet","Primer quadrimestre","F Bàsica","6.0","Primer curs"
"1739375092-4","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204101","INTRODUCCIÓ A PROJECTES 1","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/116501/guia_docent_docnet","Primer quadrimestre","Obligatòria","6.0","Primer curs"
"1739375092-5","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204010","MATEMÀTIQUES 1","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/113954/guia_docent_docnet","Primer quadrimestre","F Bàsica","6.0","Primer curs"
"1739375092-6","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204006","ART I ARQUITECTURA","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/116500/guia_docent_docnet","Segon quadrimestre","F Bàsica","6.0","Primer curs"
"1739375092-7","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204002","DIBUIX ARQUITECTÒNIC 2","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/116499/guia_docent_docnet","Segon quadrimestre","F Bàsica","6.0","Primer curs"
"1739375092-8","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204004","GEOMETRIA DESCRIPTIVA 2","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/112849/guia_docent_docnet","Segon quadrimestre","F Bàsica","6.0","Primer curs"
"1739375092-9","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204102","INTRODUCCIÓ A PROJECTES 2","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/113537/guia_docent_docnet","Segon quadrimestre","Obligatòria","6.0","Primer curs"
"1739375092-10","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204009","MATEMÀTIQUES 2","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/116068/guia_docent_docnet","Segon quadrimestre","F Bàsica","6.0","Primer curs"
"1739375092-11","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204111","CONSTRUCCIÓ 1","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/112845/guia_docent_docnet","Primer quadrimestre","Obligatòria","6.0","Segon curs"
"1739375092-12","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204008","FÍSICA DE LES INSTAL·LACIONS","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/115208/guia_docent_docnet","Primer quadrimestre","F Bàsica","6.0","Segon curs"
"1739375092-13","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204103","URBANISME I PROJECTES 1","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/116069/guia_docent_docnet","Primer quadrimestre","Obligatòria","12.0","Segon curs"
"1739375092-14","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204118","ESTRUCTURES 1","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/114373/guia_docent_docnet","Primer quadrimestre/Segon quadrimestre","Obligatòria","6.0","Segon curs"
"1739375092-15","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204112","CONSTRUCCIÓ 2","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/115202/guia_docent_docnet","Segon quadrimestre","Obligatòria","4.0","Segon curs"
