web-scraper-order,web-scraper-start-url,code,url,url-href,period,type,credits,year
"1739304965-1","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","22204001","DIBUIX ARQUITECTÒNIC I","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/113951/guia_docent_docnet","Primer quadrimestre","F Bàsica","6.0","Primer curs"
"1739304965-2","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","22204007","FÍSICA","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/113953/guia_docent_docnet","Primer quadrimestre","F Bàsica","6.0","Primer curs"
"1739304965-3","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","22204003","GEOMETRIA DESCRIPTIVA I","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/113952/guia_docent_docnet","Primer quadrimestre","F Bàsica","6.0","Primer curs"
"1739304965-4","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","22204101","INTRODUCCIÓ A PROJECTES I","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/116501/guia_docent_docnet","Primer quadrimestre","Obligatòria","6.0","Primer curs"
"1739304965-5","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","22204010","MATEMÀTIQUES I","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/113954/guia_docent_docnet","Primer quadrimestre","F Bàsica","6.0","Primer curs"
"1739304965-6","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","22204006","ART I ARQUITECTURA","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/116500/guia_docent_docnet","Segon quadrimestre","F Bàsica","6.0","Primer curs"
"1739304965-7","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","22204002","DIBUIX ARQUITECTÒNIC II","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/116499/guia_docent_docnet","Segon quadrimestre","F Bàsica","6.0","Primer curs"
"1739304965-8","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","22204004","GEOMETRIA DESCRIPTIVA II","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/112849/guia_docent_docnet","Segon quadrimestre","F Bàsica","6.0","Primer curs"
"1739304965-9","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","22204102","INTRODUCCIÓ A PROJECTES II","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/113537/guia_docent_docnet","Segon quadrimestre","Obligatòria","6.0","Primer curs"
"1739304965-10","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","22204009","MATEMÀTIQUES II","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/116068/guia_docent_docnet","Segon quadrimestre","F Bàsica","6.0","Primer curs"
"1739304965-11","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","22204111","CONSTRUCCIÓ I","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/112845/guia_docent_docnet","Primer quadrimestre","Obligatòria","6.0","Segon curs"
"1739304965-12","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","22204008","FÍSICA DE LES INSTAL·LACIONS","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/115208/guia_docent_docnet","Primer quadrimestre","F Bàsica","6.0","Segon curs"
"1739304965-13","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","22204103","URBANISME I PROJECTES I","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/116069/guia_docent_docnet","Primer quadrimestre","Obligatòria","12.0","Segon curs"
"1739304965-14","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","22204118","ESTRUCTURES I","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/114373/guia_docent_docnet","Primer quadrimestre
								 		
								 			/ Segon quadrimestre","Obligatòria","6.0","Segon curs"
"1739304965-15","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","22204112","CONSTRUCCIÓ II","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/115202/guia_docent_docnet","Segon quadrimestre","Obligatòria","4.0","Segon curs"
"1739304965-16","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","22204126","HISTÒRIA DE L'ARQUITECTURA I","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/113536/guia_docent_docnet","Segon quadrimestre","Obligatòria","4.0","Segon curs"
"1739304965-17","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","22204122","INSTAL·LACIONS I","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/112846/guia_docent_docnet","Segon quadrimestre","Obligatòria","4.0","Segon curs"
"1739304965-18","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","22204005","TÈCNIQUES DE REPRESENTACIÓ","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/112844/guia_docent_docnet","Segon quadrimestre","F Bàsica","6.0","Segon curs"
"1739304965-19","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","22204104","URBANISME I PROJECTES II","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/115205/guia_docent_docnet","Segon quadrimestre","Obligatòria","12.0","Segon curs"
"1739304965-20","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","22204113","CONSTRUCCIÓ III","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/114372/guia_docent_docnet","Primer quadrimestre","Obligatòria","4.0","Tercer curs"
"1739304965-21","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","22204119","ESTRUCTURES II","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/115203/guia_docent_docnet","Primer quadrimestre","Obligatòria","4.0","Tercer curs"
"1739304965-22","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","22204128","HISTÒRIA DE L'ARQUITECTURA II","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/116502/guia_docent_docnet","Primer quadrimestre","Obligatòria","3.0","Tercer curs"
"1739304965-23","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","22204123","INSTAL·LACIONS II","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/112847/guia_docent_docnet","Primer quadrimestre","Obligatòria","3.0","Tercer curs"
"1739304965-24","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","22204129","TEORIA DE L'ARQUITECTURA","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/115210/guia_docent_docnet","Primer quadrimestre","Obligatòria","4.0","Tercer curs"
"1739304965-25","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","22204105","URBANISME I PROJECTES III","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/112659/guia_docent_docnet","Primer quadrimestre","Obligatòria","12.0","Tercer curs"
"1739304965-26","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","22204114","CONSTRUCCIÓ IV","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/113535/guia_docent_docnet","Segon quadrimestre","Obligatòria","6.0","Tercer curs"
"1739304965-27","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","22204120","ESTRUCTURES III","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/115206/guia_docent_docnet","Segon quadrimestre","Obligatòria","4.0","Tercer curs"
"1739304965-28","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","22204116","GEOTÈCNIA","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/112663/guia_docent_docnet","Segon quadrimestre","Obligatòria","4.0","Tercer curs"
"1739304965-29","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","22204127","HISTÒRIA DE L'ARQUITECTURA III","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/112848/guia_docent_docnet","Segon quadrimestre","Obligatòria","4.0","Tercer curs"
"1739304965-30","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","22204106","URBANISME I PROJECTES IV","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/113538/guia_docent_docnet","Segon quadrimestre","Obligatòria","12.0","Tercer curs"
"1739304965-31","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","22204132","AMIDAMENTS I PRESSUPOSTOS","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/113539/guia_docent_docnet","Primer quadrimestre","Obligatòria","4.0","Quart curs"
"1739304965-32","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","22204131","COMPOSICIÓ I","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/112851/guia_docent_docnet","Primer quadrimestre","Obligatòria","4.0","Quart curs"
"1739304965-33","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","22204115","CONSTRUCCIÓ V","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/112662/guia_docent_docnet","Primer quadrimestre","Obligatòria","6.0","Quart curs"
"1739304965-34","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","22204121","ESTRUCTURES IV","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/116498/guia_docent_docnet","Primer quadrimestre","Obligatòria","4.0","Quart curs"
"1739304965-35","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","22204107","URBANISME I PROJECTES V","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/112661/guia_docent_docnet","Primer quadrimestre","Obligatòria","12.0","Quart curs"
"1739304965-36","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","22204130","COMPOSICIÓ II","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/116503/guia_docent_docnet","Segon quadrimestre","Obligatòria","4.0","Quart curs"
