web-scraper-order,web-scraper-start-url,coordinators
"1740076139-1","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204001&any_academic=2024_25&idioma=cat&modalitat=p","TOLDRA DOMINGO, JOSE MARIA"
"1740076142-2","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204007&any_academic=2024_25&idioma=cat&modalitat=p","MATEOS FERRÉ, XAVIER"
"1740076144-3","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204003&any_academic=2024_25&idioma=cat&modalitat=p","DOMINGO MAGAÑA, JOSÉ RAMONSAMPER SOSA, ALBERT"
"1740076147-4","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204101&any_academic=2024_25&idioma=cat&modalitat=p","TOLDRA DOMINGO, JOSE MARIA"
"1740076150-5","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204010&any_academic=2024_25&idioma=cat&modalitat=p","FORTUNY ANGUERA, GERARD"
"1740076152-6","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204006&any_academic=2024_25&idioma=cat&modalitat=p","MIRALLES JORI, ROGER"
"1740076155-7","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204002&any_academic=2024_25&idioma=cat&modalitat=p","TOLDRA DOMINGO, JOSE MARIA"
"1740076157-8","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204004&any_academic=2024_25&idioma=cat&modalitat=p","DOMINGO MAGAÑA, JOSÉ RAMONSAMPER SOSA, ALBERT"
"1740076159-9","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204102&any_academic=2024_25&idioma=cat&modalitat=p","TOLDRA DOMINGO, JOSE MARIA"
"1740076161-10","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204009&any_academic=2024_25&idioma=cat&modalitat=p","HERRERA GÓMEZ, BLAS"
"1740076164-11","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204111&any_academic=2024_25&idioma=cat&modalitat=p","FITE FONT, RAMON ANTONIOMARTI ROVIRA, ORLAND"
"1740076166-12","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204008&any_academic=2024_25&idioma=cat&modalitat=p","SERRES SERRES, JOSEP MARIA"
"1740076169-13","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204103&any_academic=2024_25&idioma=cat&modalitat=p","FREDIANI SARFATI, ARTUROROSELL GRATACÒS, JOAQUIMSOLANS IBÁÑEZ, INDÍBIL"
"1740076171-14","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204118&any_academic=2024_25&idioma=cat&modalitat=p","SALA MATEUS, MIGUEL ANGEL"
"1740076173-15","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204112&any_academic=2024_25&idioma=cat&modalitat=p","FITE FONT, RAMON ANTONIOMARTI ROVIRA, ORLAND"
"1740076176-16","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204126&any_academic=2024_25&idioma=cat&modalitat=p","BEA CASTAÑO, DAVID"
"1740076178-17","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204122&any_academic=2024_25&idioma=cat&modalitat=p","NAVARRO ROMERO, CELIA"
"1740076180-18","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204005&any_academic=2024_25&idioma=cat&modalitat=p","SAMPER SOSA, ALBERT"
"1740076183-19","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204104&any_academic=2024_25&idioma=cat&modalitat=p","FREDIANI SARFATI, ARTUROSOLANS IBÁÑEZ, INDÍBIL"
"1740076185-20","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204113&any_academic=2024_25&idioma=cat&modalitat=p","GENÍS VIÑALS, MARIONA"
