web-scraper-order,web-scraper-start-url,description
"1740096153-1","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204001&any_academic=2024_25&idioma=cat&modalitat=p","L'assignatura forma part juntament amb introducció a projectes del que s'ha definit com a objectiu principal de curs aprendre a llegir i a escriure. Aprendre a llegir l'entorn i la societat en que vivim (llegir), i aprendre a traslladar les seves necessitats al projecte i dibuix, (escriure)."
"1740096156-2","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204007&any_academic=2024_25&idioma=cat&modalitat=p","La asignatura está programada para impartirse en forma presencial y se mantendrá esta presencialidad si la normativa que puedan dictar las autoridades sanitarias y demás órganos competentes no dice lo contrario, y los requisitos de capacidad lo permiten. Si hay cambios se informarán al espacio Moodle de la asignatura. 
				Introducción a los conocimientos básicos de estática del sólido rígido y sólido deformable, de geometria de masas y del cálculo de vigas isostàticas"
"1740096158-3","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204003&any_academic=2024_25&idioma=cat&modalitat=p","Coneixement dels sistemes de representació i geometria de la forma. 

En el cas d'una nova situació d'estat d'alarma o confinament territorial s'informarà als estudiants mitjançant el moodle de l'assignatura els canvis o modificacions pertinents en el currículum docent."
"1740096160-4","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204101&any_academic=2024_25&idioma=cat&modalitat=p","Formació del projectista a través de la descoberta pròpia de l'entorn natural i social i de la  capacitat de proposar i de comunicar. A partir d'un estadi inicial d'informació sobre els paràmetres del projecte es procedeix a una anàlisi crítica, a la proposició d'estratègies i a la concreció de la forma."
"1740096163-5","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204010&any_academic=2024_25&idioma=cat&modalitat=p","L’assignatura de Matemàtiques I té com objectiu dotar a l'estudiant de les eines que permetran l'estudi sistemàtic decorbes i superfícies al pla i l’espai.

Es parteix dels coneixements matemàtics previs dels estudiants i es presenten eines noves que permetran formalitzar adequadament els objectes i d’entitats matemàtiques, les quals tindran un estudi profund a l’assignatura Matemàtiques II."
"1740096165-6","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204006&any_academic=2024_25&idioma=cat&modalitat=p","L’assignatura d’Art i Arquitectura ha d’apropar l’estudiant a les bases de l’art i arquitectura actuals. Estudiarem els arquitectes i artistes moderns que van posar els fonaments del que avui entenem com art i arquitectura contemporània. 
L’assignatura està dividida en dues parts. Una és ‘especulativa’ i l’altre ‘lectiva’."
"1740096167-7","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204002&any_academic=2024_25&idioma=cat&modalitat=p","L'assignatura forma part juntament amb introducció a projectes del que s'ha definit com a objectiu principal de curs aprendre a llegir i a escriure. Aprendre a llegir l'entorn i la societat en que vivim (llegir), i aprendre a traslladar les seves necessitats al projecte i dibuix, (escriure)."
"1740096169-8","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204004&any_academic=2024_25&idioma=cat&modalitat=p","Reconeixement i representació de les formes arquitectòniques per mitjans informàtics en vistes convencionals i modelat tridimensional. El grau d’arquitectura manté la total presencialitat. En el cas d'una nova situació d'estat d'alarma o confinament territorial s'informarà als estudiants mitjançant el moodle de l'assignatura."
"1740096172-9","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204102&any_academic=2024_25&idioma=cat&modalitat=p","L'assignatura introducció a projectes II estableix continuïtat amb introducció a projectes I i es desenvolupa en paral·lel amb Dibuix arquitectònic II. Treballa sobre els processos projectuals, des de l'abstracció a la concreció de la forma. Estableix una fusió entre el projecte, el registre, la comunicació i la representació en arquitectura."
"1740096174-10","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204009&any_academic=2024_25&idioma=cat&modalitat=p","L'assignatura consisteix en arribar al domini de la geometria de les còniques i quàdriques, amés de les afinitats, moviments, semblances i projeccions a l’espai tridimensional euclidià. Així mateix, consisteix en conèixer alguns elements bàsics de la Geometria diferencial de superfícies. Tot amb la idea de ser útil a l’art i ciència de l’Arquitectura. LA DOCÈNCIA D'AQUESTA ASSIGNATURA ESTÀ COMPARTIDA AMB L'ASSIGNATURA, MATEMÀTIQUES II, DEL NOU PLA D'ESTUDIS DE ""GRAU EN ESTUDIS D'ARQUITECTURA""."
