web-scraper-order,web-scraper-start-url,professors
"1740086230-1","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204001&any_academic=2024_25&idioma=cat&modalitat=p","CASALS ROCA, RAQUEL INMACULADA"
"1740086230-2","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204001&any_academic=2024_25&idioma=cat&modalitat=p","PEREZ SANCHEZ, JOAQUIN"
"1740086230-3","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204001&any_academic=2024_25&idioma=cat&modalitat=p","TOLDRA DOMINGO, JOSE MARIA"
"1740086230-4","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204001&any_academic=2024_25&idioma=cat&modalitat=p","DE SOLA-MORALES SERRA, PAU"
"1740086230-5","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204001&any_academic=2024_25&idioma=cat&modalitat=p","CUARTERO BETRIU, GERARD"
"1740086230-6","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204001&any_academic=2024_25&idioma=cat&modalitat=p","FERRÉ PUEYO, GEMMA"
"1740086233-7","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204007&any_academic=2024_25&idioma=cat&modalitat=p","MATEOS FERRÉ, XAVIER"
"1740086235-8","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204003&any_academic=2024_25&idioma=cat&modalitat=p","DOMINGO MAGAÑA, JOSÉ RAMON"
"1740086235-9","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204003&any_academic=2024_25&idioma=cat&modalitat=p","SAMPER SOSA, ALBERT"
"1740086235-10","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204003&any_academic=2024_25&idioma=cat&modalitat=p","MALLAFRÈ BALSELLS, CÈLIA"
"1740086238-11","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204101&any_academic=2024_25&idioma=cat&modalitat=p","FARRENY MORANCHO, JAUME"
"1740086238-12","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204101&any_academic=2024_25&idioma=cat&modalitat=p","CASALS ROCA, RAQUEL INMACULADA"
"1740086238-13","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204101&any_academic=2024_25&idioma=cat&modalitat=p","PEREZ SANCHEZ, JOAQUIN"
"1740086238-14","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204101&any_academic=2024_25&idioma=cat&modalitat=p","TOLDRA DOMINGO, JOSE MARIA"
"1740086238-15","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204101&any_academic=2024_25&idioma=cat&modalitat=p","CUARTERO BETRIU, GERARD"
"1740086238-16","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204101&any_academic=2024_25&idioma=cat&modalitat=p","FERRÉ PUEYO, GEMMA"
