web-scraper-order,web-scraper-start-url,iframes
"1739481694-1,""https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/114316/guia_docent_docnet"",""https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234217&any_academic=2024_25&idioma=cat&modalitat=p"""
"1739481696-2,""https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/112645/guia_docent_docnet"",""https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234301&any_academic=2024_25&idioma=cat&modalitat=p"""
"1739481699-3,""https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/114315/guia_docent_docnet"",""https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234216&any_academic=2024_25&idioma=cat&modalitat=p"""
"1739481701-4,""https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/116016/guia_docent_docnet"",""https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234401&any_academic=2024_25&idioma=cat&modalitat=p"""
"1739481703-5,""https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/115147/guia_docent_docnet"",""https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234210&any_academic=2024_25&idioma=cat&modalitat=p"""
"1739481706-6,""https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/116392/guia_docent_docnet"",""https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234219&any_academic=2024_25&idioma=cat&modalitat=p"""
"1739481708-7,""https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/116391/guia_docent_docnet"",""https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234204&any_academic=2024_25&idioma=cat&modalitat=p"""
"1739481711-8,""https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/113481/guia_docent_docnet"",""https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234203&any_academic=2024_25&idioma=cat&modalitat=p"""
"1739481713-9,""https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/113893/guia_docent_docnet"",""https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234202&any_academic=2024_25&idioma=cat&modalitat=p"""
"1739481716-10,""https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/112832/guia_docent_docnet"",""https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234132&any_academic=2024_25&idioma=cat&modalitat=p"""
"1739481718-11,""https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/114314/guia_docent_docnet"",""https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234213&any_academic=2024_25&idioma=cat&modalitat=p"""
"1739481721-12,""https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/113480/guia_docent_docnet"",""https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234212&any_academic=2024_25&idioma=cat&modalitat=p"""
"1739481723-13,""https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/113439/guia_docent_docnet"",""https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234131&any_academic=2024_25&idioma=cat&modalitat=p"""
"1739481726-14,""https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/113892/guia_docent_docnet"",""https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234208&any_academic=2024_25&idioma=cat&modalitat=p"""
"1739481728-15,""https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/116390/guia_docent_docnet"",""https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234130&any_academic=2024_25&idioma=cat&modalitat=p"""
