web-scraper-order,web-scraper-start-url,iframes
"1739378968-1","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/114316/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234217&any_academic=2024_25&idioma=eng&modalitat=p"
"1739378970-2","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/112645/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234301&any_academic=2024_25&idioma=eng&modalitat=p"
"1739378973-3","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/114315/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234216&any_academic=2024_25&idioma=eng&modalitat=p"
"1739378975-4","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/116016/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234401&any_academic=2024_25&idioma=eng&modalitat=p"
"1739378978-5","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/115147/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234210&any_academic=2024_25&idioma=eng&modalitat=p"
"1739378980-6","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/116392/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234219&any_academic=2024_25&idioma=eng&modalitat=p"
"1739378983-7","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/116391/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234204&any_academic=2024_25&idioma=eng&modalitat=p"
"1739378985-8","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/113481/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234203&any_academic=2024_25&idioma=eng&modalitat=p"
"1739378988-9","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/113893/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234202&any_academic=2024_25&idioma=eng&modalitat=p"
"1739378990-10","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/112832/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234132&any_academic=2024_25&idioma=eng&modalitat=p"
