web-scraper-order,web-scraper-start-url,reference
"1740065270-1","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116741/guia_docent","(
							
								
								
									Llibre
								
													
						) Bueno Campos, Eduardo., Curso básico de economía de la empresa: Un enfoque de organización , 
                        
										
														
								Accés al CRAI"
"1740065270-2","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116741/guia_docent","(
							
								
									Altres
								
								
													
						) BIBLIOGRAFIA GRUP ANGLÈS (ANGLÈS), BIBLIOGRAFIA GRUP ANGLÈS (ANGLÈS),"
"1740065270-3","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116741/guia_docent","(
							
								
								
									Llibre
								
													
						)  /  Iborra Juan, María. /  Dasí, Àngels /  Dolz, Consuelo /  Ferrer, Carmen, Fundamentos de dirección de empresas : conceptos y habilidades directivas , cop. 2014
                        
										
														
								Accés al CRAI"
"1740065270-4","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116741/guia_docent","(
							
								
								
									Llibre
								
													
						) Cortejoso Lino, María, Casos de aplicación de fundamentos de gestión empresarial , 2023
                        
										
														
								Accés al CRAI"
"1740065270-5","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116741/guia_docent","(
							
								
								
									Llibre
								
													
						)  Montoro Sánchez, María Ángeles /  Díez Vial, Isabel, autor /  Martín de Castro, Gregorio, autor /  Cuervo García, Álvaro, escriptor d'un pròleg, Fundamentos de administración de empresas , 2020
                        
										
														
								Accés al CRAI"
"1740065270-6","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116741/guia_docent","(
							
								
								
									Llibre
								
													
						) Bueno Hernández, Yolanda., Fundamentos de administración de empresas : ejercicios prácticos , 2015
                        
										
														
								Accés al CRAI"
"1740065270-7","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116741/guia_docent","(
							
								
								
									Llibre
								
													
						)  Analoui, Farhad /  Karami, Azhdar, Strategic management in small and medium enterprises , 2003
                        
										
														
								Accés al CRAI"
"1740065270-8","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116741/guia_docent","(
							
								
								
									Llibre
								
													
						) Fuentes Fuentes, María del Mar.; Cordón Pozo, Eulogio., Fundamentos de dirección y administración de empresas , cop. 2014
                        
										
														
								Accés al CRAI"
"1740065270-9","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116741/guia_docent","(
							
								
								
									Llibre
								
													
						)  /  Hernández Ortiz, Ma Jesús /  Aranda Ogayar, Manuel, Casos prácticos de administración y organización de empresas , cop. 2000
                        
										
														
								Accés al CRAI"
"1740065270-10","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116741/guia_docent","(
							
								
								
									Llibre
								
													
						) Pérez Gorostegui, Eduardo., Prácticas de administración de empresas , cop. 2005
                        
										
														
								Accés al CRAI"
"1740065270-11","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116741/guia_docent","(
							
								
								
									Llibre
								
													
						)  García Moreno, Susana María /  Nájera Sánchez, Juan José /  Rico García, María de Guadalupe, Organización y administración de empresas : una visión práctica , 2001
                        
										
														
								Accés al CRAI"
"1740065270-12","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116741/guia_docent","(
							
								
								
									Llibre
								
													
						)  /  García del Junco, Julio. /  Casanueva Rocha, Cristóbal., Prácticas de la gestión empresarial , cop. 2000
                        
										
														
								Accés al CRAI"
"1740065270-13","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116741/guia_docent","(
							
								
								
									Llibre
								
													
						) Rodrigo Illera, Carlos., Administración de empresas : prácticas y ejercicios , DL 2006
                        
										
														
								Accés al CRAI"
"1740065273-14","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116906/guia_docent","(
							
								
								
									Llibre
								
													
						)  Sydsæter, Knut. /  Hammond, Peter J. /  Carvajal, Andrés M., Matemáticas para el análisis económico , cop. 2012
                        
										
														
								Accés al CRAI"
"1740065273-15","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116906/guia_docent","(
							
								
								
									Llibre
								
													
						)  Mauri Masdeu, Llúcia /  Universitat Rovira i Virgili., Matemàtiques II : economia i empresa , 2013
                        
										
														
								Accés al CRAI"
"1740065273-16","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116906/guia_docent","(
							
								
								
									Llibre
								
													
						)  Sydsæter, Knut. /  Hammond, Peter J., 1945- /  Strøm, Arne, Essential mathematics for economic analysis / Knut Sydsæter and Peter Hammond with Arne Strøm, 2012
                        
										
														
								Accés al CRAI"
"1740065277-17","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116905/guia_docent","(
							
								
								
									Llibre
								
													
						) González García, Vicente, Contabilidad financiera: el Plan General de Contabilidad : adaptado al Real Decreto 01/2021 , 2022
                        
										
														
								Accés al CRAI"
"1740065277-18","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116905/guia_docent","(
							
								
								
									Llibre
								
													
						)  /  López Díaz, Antonio., Manual de contabilidad financiera , 2008
                        
										
														
								Accés al CRAI"
"1740065277-19","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116905/guia_docent","(
							
								
								
									Llibre
								
													
						)  Jiménez Cardoso, Sergio Manuel /  Arquero Montaño, José Luis, autor /  Ruiz Albert, Ignacio, autor /  Cañibano Calvo, Leandro, escriptor d'un pròleg, Plan General de Contabilidad anotado : modificado por el RD 1/2021, de 12 de enero, de aplicación a lo ejercicios que comiencen a partir del 1 de enero de 2021 : Resolución sobre el inmovilizado material e inversiones inmobiliarias (RICAC 1 de marzo de 2013) : Resolución sobre el inmovilizado intangible (RICAC 28 de mayo de 2013) : Resolución sobre registro y valoración del deterioro (RICAC 18 de septiembre de 2013) : Resolución sobre empresas en liquidación (RICAC de 18 de octubre de 2013) : Resolución del coste de producción (RICAC 14 de abril de 2015) : Resolución del periodo medio de pago a proveedores (RICAC 29 de enero de 2016) : Resolución del impuesto sobre beneficios (RICAC 9 de febrero de 2016, modificada por la RICAC 18 de mayo de 2016), : Resolución sobre instrumentos emitidos y operaciones societarias (RICAC de 5 de marzo de 2019) : Resolución sobre entrega de bienes y prestación de servicios (RICAC de 10 de febrero de 2021) : anotadas , 2023
                        
										
														
								Accés al CRAI"
"1740065277-20","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116905/guia_docent","(
							
								
								
									Llibre
								
													
						)  Arquero Montaño, José Luis /  Jiménez Cardoso, Sergio Manuel, autor /  Ruiz Albert, Ignacio, autor, Introducción a la contabilidad financiera , 2021
                        
										
														
								Accés al CRAI"
"1740065277-21","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116905/guia_docent","(
							
								
								
									Llibre
								
													
						) Jiménez Cardoso, Sergio Manuel, Contabilidad financiera : notas técnicas y casos resueltos : adaptado al Real Decreto 1/2021 , 2022
                        
										
														
								Accés al CRAI"
"1740065277-22","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116905/guia_docent","(
							
								
								
									Llibre
								
													
						) Omeñaca García, Jesús., Contabilidad general, 2008
                        
										
														
								Accés al CRAI"
"1740065277-23","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116905/guia_docent","(
							
								
								
									Llibre
								
													
						)  Espanya /  Cañibano Calvo, Leandro, escriptor del pròleg, Plan general de contabilidad y de PYMES : Reales Decretos 1514/2007 y 1515/2007 adaptados a los reales decretos 1159/2010, 602/2016 y 1/2021 , 2022
                        
										
														
								Accés al CRAI"
"1740065277-24","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116905/guia_docent","(
							
								
								
									Llibre
								
													
						)  /  Amat Salas, Oriol., Comprender el nuevo Plan General de Contabilidad : R.D. 1643/1990, de 20 de Diciembre , 1992
                        
										
														
								Accés al CRAI"
