web-scraper-order,web-scraper-start-url,coordinators,coordinators-href
"1740065311-1","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116741/guia_docent","Bonillo Alcaina,  Isaac","http://www.urv.cat/html/docencia-per-centre/general-I66971.php"
"1740065311-2","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116741/guia_docent","Coll Garrido,  Jordi","http://www.urv.cat/html/docencia-per-centre/general-I101153.php"
"1740065311-3","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116741/guia_docent","Guarimata Salinas,  Génesis María","http://www.urv.cat/html/docencia-per-centre/general-I72514.php"
"1740065311-4","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116741/guia_docent","López Panisello,  Ma. Belén","http://www.urv.cat/html/docencia-per-centre/general-I7351.php"
"1740065311-5","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116741/guia_docent","Vallduví Botet,  Gerard","http://www.urv.cat/html/docencia-per-centre/general-I9014.php"
"1740065314-6","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116906/guia_docent","Llerena Garrés,  Francisco","http://www.urv.cat/html/docencia-per-centre/general-I1108.php"
"1740065314-7","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116906/guia_docent","Marquez Alvarez,  Norberto","http://www.urv.cat/html/docencia-per-centre/general-I1109.php"
"1740065314-8","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116906/guia_docent","Masip Viñes,  Joan","http://www.urv.cat/html/docencia-per-centre/general-I8325.php"
"1740065314-9","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116906/guia_docent","Vilella Bach,  Misericòrdia","http://www.urv.cat/html/docencia-per-centre/general-I1933.php"
"1740065318-10","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116905/guia_docent","Casamitjana Olive,  Ramon","http://www.urv.cat/html/docencia-per-centre/general-I15843.php"
"1740065318-11","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116905/guia_docent","Pié Dols,  Laia","http://www.urv.cat/html/docencia-per-centre/general-I13744.php"
