web-scraper-order,web-scraper-start-url,description
1740065714-1,https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116741/guia_docent,Introducció als conceptes d'empresa i empresari. Aproximació a les àrees funcionals: conceptes i mètodes inicials. Ubicar l'empresa en un entorn on la competitivitat és determinant a l'hora de prendre decisions.
1740065720-2,https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116906/guia_docent,Desenvolupament d'eines matemàtiques d'optimització per a la presa de decisions quantitatives.
1740065728-3,https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116905/guia_docent,"Aquesta assignatura és altament abstracta i requereix haver assolit coneixements d'Introducció a la Comptabilitat, així com coneixements bàsics de matemàtica financera. L'objectiu principal d'aquest curs consisteix a profunditzar en el coneixement del PGC, en aspectes tals com: immobilitzat material, inversions immobiliàries i immobilitzat intangible, actius i passius financers, provisions, càlcul i comptabilització de l'Impost de Societats i elaboració dels comptes anuals. S'aprofundeix en cadascun dels apartats del temari amb casos pràctics que facin entenedors els conceptes teòrics."
1740065735-4,https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116881/guia_docent,Desenvolupament de les eines algebraiques i d'anàlisi real necessàries per a l'ensenyament.
1740065743-5,https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116740/guia_docent,"La comptabilitat explica els fets que afecten el patrimoni, el resultat i la tresoreria de l'empresa. És un llenguatge comú que té per objectiu permetre a diferents perfils d'usuaris prendre decisions relacionades amb l'empresa utilitzant la informació de qualitat que els ofereix la seva comptabilitat. El graduat en ADE, en FIC i en Economia necessita conèixer i aplicar aquest llenguatge comú per a realitzar amb èxit la seva activitat professional. Aquesta assignatura desenvolupa les competències bàsiques d'aquesta disciplina."
1740065750-6,https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116912/guia_docent,"Aquesta assignatura ofereix una exploració profunda dels principis i pràctiques fonamentals del màrqueting. L'assignatura està dissenyada per oferir tant coneixements teòrics com habilitats pràctiques, preparant els estudiants per als desafiaments reals del màrqueting en un entorn empresarial. A través d'estudis de cas, projectes i sessions interactives, els estudiants obtindran una comprensió completa dels principis del màrqueting."
1740065758-7,https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117282/guia_docent,"Aquesta assignatura està organitzada en dues parts independents, però complementàries. 
Durant el primer quadrimestre, a l'apartat d'Història de la Comunicació, ens dedicarem a l'estudi de l'evolució històrica de les tecnologies, els mitjans, les organitzacions i les modalitats o formes de la comunicació social, des de la invenció de la impremta fins a l'actualitat, posant l'accent en les dimensions sociopolítica i sociocultural.
El segon quadrimestre es dedicarà a l'anàlisi de l'evolució i l'estructura del sistema comunicatiu actual, tant a nivell internacional com local. L'objectiu és fer una foto fixa dels grans grups empresarials dedicats a la comunicació i a la situació i tendències dels principals subsectors comunicatius."
1740065765-8,https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117023/guia_docent,"Amb aquesta assignatura l’alumnat es familiaritzarà i dominarà de manera elemental les diferents tecnologies de creació audiovisual. Obtindrà les habilitats tècniques suficients que li permetrà generar productes audiovisuals. Serà capaç de distingir i d’analitzar els diversos processos de producció audiovisual atenent a criteris com qualitat, costos, formats, temps o dificultat. L'assignatura es descomposa en tres blocs temàtics: Àudio, Vídeo i Internet."
1740065773-9,https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117015/guia_docent,"Aquesta assignatura pretén que els alumnes consolidin els coneixements de la llengua catalana, tant orals com escrits, i coneguin els trets propis del seu dialecte que també formen part de la llengua estàndard, perquè els puguin utilitzar en les diferents situacions comunicatives formals en què es puguin trobar. També pretén que els alumnes consolidin els seus coneixements de la llengua atenent la diversitat lingüística i l'ús que se'n fa en els MCM i en la publicitat, i vol capacitar-los per redactar diferents tipus de textos (tant periodístics com publicitaris i de productes audiovisuals) en català, tenint en compte la correcció i l'adequació al seu univers comunicatiu. Finalment, també pretén reflexionar sobre l'ús de la llengua en els MCM, centrant també l'atenció en els llibres d'estil d'aquests mitjans."
1740065780-10,https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117016/guia_docent,"L'objectiu de l'assignatura és l'aprofundiment en el domini de l'estàndard escrit i oral de la llengua espanyola, a fi de reforçar les competències comunicatives de l'alumnat amb vista a l'exercici professional."
