web-scraper-order,web-scraper-start-url,description,contents
"1740065714-1","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116741/guia_docent","Introducció als conceptes d'empresa i empresari. Aproximació a les àrees funcionals: conceptes i mètodes inicials. Ubicar l'empresa en un entorn on la competitivitat és determinant a l'hora de prendre decisions.","TEMA 1. L'EMPRESA I L'EMPRESARI

1.1. La naturalesa de l'empresa

1.2. Classes d'empreses

1.3. La creació d'empreses

TEMA 2. LA FUNCIÓ D'ADMINISTRACIÓ

2.1. El procés administratiu

2.2. La funció de planificació

2.3. La funció d'organització

2.4. La funció de direcció

2.5. La funció de control

TEMA 3. LA FUNCIÓ D'OPERACIONS

3.1. El sistema de producció en
l'empresa

3.2. Els objectius de la funció d'operacions

3.3. Les decisions estratègiques de producció

3.4. Les decisions tàctiques de
producció

TEMA 4. LA FUNCIÓ COMERCIAL

4.1. La direcció de màrqueting

4.2. L'anàlisi del mercat

4.3. Les variables comercials estratègiques

4.4. Les variables comercials tàctiques

TEMA 5. LA FUNCIÓ FINANCERA

5.1. El sistema financer

5.2. La funció financera

5.3. Decisions d'inversió

5.4. Decisions de finançament

TEMA 6. L'ENTORN EMPRESARIAL

6.1. La naturalesa de
l'entorn

6.2. L'anàlisi de l'entorn general

6.3. L'anàlisi de l'entorn específic

6.4. La direcció estratègica

6.5. Els grups d'interès

6.6. La responsabilitat social corporativa"
"1740065720-2","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116906/guia_docent","Desenvolupament d'eines matemàtiques d'optimització per a la presa de decisions quantitatives.","Tema 1. Formes quadràtiques1.1 Formes quadràtiques
1.2 Classificació de formes quadràtiques
Tema 2. Funcions de vàries variables2.1 Continuïtat de funcions
2.2 Càlcul de derivades parcials
2.3 Elasticitat parcial
Tema 3. Optimització sense restriccions3.1 Descripció del problema
3.2 Condicions d'optimalitat
Tema 4. Optimització amb restriccions d'igualtat4.1 Descripció del problema
4.2 Condicions d'optimalitat
4.3 Anàlisi de sensibilitat
Tema 5. Optimització lineal5.1 Descripció del problema. Interpretació gràfica
5.2 Optimització lineal: algorisme símplex
5.3 Anàlisi de sensibilitat
Tema 6. Successions i sèries de nombres reals6.1 Successions de nombres reals
6.2 Sèries de nombres reals
6.3 Sèrie geomètrica"
"1740065728-3","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116905/guia_docent","Aquesta assignatura és altament abstracta i requereix haver assolit coneixements d'Introducció a la Comptabilitat, així com coneixements bàsics de matemàtica financera. L'objectiu principal d'aquest curs consisteix a profunditzar en el coneixement del PGC, en aspectes tals com: immobilitzat material, inversions immobiliàries i immobilitzat intangible, actius i passius financers, provisions, càlcul i comptabilització de l'Impost de Societats i elaboració dels comptes anuals. S'aprofundeix en cadascun dels apartats del temari amb casos pràctics que facin entenedors els conceptes teòrics.","TEMA 1. IMMOBILITZAT MATERIAL I INVERSIONS IMMOBILIÀRIES1. Immobilitzat material
1.1. Concepte i classificació
1.2. Normes de registre i valoració
1.3. Operacions comptables del immobilitzat material
1.3.1. Adquisicions a subministradors aliens
1.3.2. Adquisicions per producció pròpia
1.3.3. Correccions valoratives: amortitzacions i deterioraments de valor
1.3.4. Baixes en inventari
1.3.5. Ampliacions i millores
2. Inversions immobiliàries
2.1. Concepte i classes
2.2. Valoració i comptabilització
2.3. Correccions valoratives: amortitzacions i deterioraments de valor

TEMA 2. IMMOBILITZAT INTANGIBLE1. Immobilitzat intangible
1.1. Concepte i classes
1.2. Normes de registre i valoració
1.3. Despeses d'investigació i desenvolupament i propietat industrial
1.4. Aplicacions informàtiques
1.5. Correccions valoratives: amortitzacions i deterioraments de valor




TEMA 3. ELS INSTRUMENTS FINANCERS EN EL PGC: ELS ACTIUS FINANCERS1. Definició i classificació dels actius financers
2. Registre i valoració dels actius financers
2.1. Actius financers a cost amortitzat
2.2. Actius a cost amortitzats mantinguts per a negociar
2.3. Actius financers a cost
3. Correccions de valor per deteriorament
4. Interessos i dividends rebuts d’actius financers
5. Baixa d’actius financers
6. Fiances i dipòsits d’Actius
TEMA 4. ELS INSTRUMENTS FINANCERS EN EL PGC: ELS PASSIUS FINANCERS Y ALTRES PASSIUS1. Definició i classificació dels passius financers i no financers
2. Registre i valoració dels passius financers
3. Préstecs
4. Pòlissa de crèdit
5. Leasing
6. Fiances i dipòsits de Passius
TEMA 5. DETERMINACIÓ DEL RESULTAT I APLICACIÓ1. El resultat del període
2. Ajustaments en el resultat comptable: Diferències permanents i temporaries
3. Impost corrent: Actius i passius per impost corrent
4. Impost diferit: Actius i passius per impost diferit
5. Comptabilització de l’Impost de societats.
6. Aplicació del resultat net del període: dotacions obligatòries i voluntàries.
TEMA 6. ELS COMPTES ANUALS1. Introducció
1.1. Formulació dels comptes anuals
1.2. Models de presentació dels comptes anuals: normal, abreujat i PIME
2. El Balanç
3. El compte de Pèrdues i Guanys
4. La Memòria"
"1740065735-4","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116881/guia_docent","Desenvolupament de les eines algebraiques i d'anàlisi real necessàries per a l'ensenyament.","PART I: ANÀLISI REAL   TEMA 1. FUNCIÓ REAL DE VARIABLE REAL1.1 Continuïtat i tipus de discontinuïtats
1.2 Derivada i elasticitat d'una funció
1.3 Extrems absoluts i relatius. Creixement i decreixement
1.4 Curvatura: concavitat i convexitat
1.5 Representació de funcions
TEMA 2. INTEGRACIÓ2.1 Integral indefinida
2.2 Integral definidaPART II: ÀLGEBRA LINEALTEMA 3. MATRIUS I DETERMINANTS     3.1 Operacions de matrius
3.2 Determinant d'una matriu
3.3 Rang d'una matriu
TEMA 4. SISTEMES D'EQUACIONS LINEALS     4.1 Definició de sistema d'equacions lineals
4.2 Classificació de sistemes
4.3 Resolució de sistemes
TEMA 5. ESPAI Rn     5.1 Definicions i exemples
5.2 Dependència i independència lineal
5.3 Producte escalar de vectors"
"1740065743-5","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116740/guia_docent","La comptabilitat explica els fets que afecten el patrimoni, el resultat i la tresoreria de l'empresa. És un llenguatge comú que té per objectiu permetre a diferents perfils d'usuaris prendre decisions relacionades amb l'empresa utilitzant la informació de qualitat que els ofereix la seva comptabilitat. El graduat en ADE, en FIC i en Economia necessita conèixer i aplicar aquest llenguatge comú per a realitzar amb èxit la seva activitat professional. Aquesta assignatura desenvolupa les competències bàsiques d'aquesta disciplina.","TEMA 1. COMPTABILITAT I SISTEMES D'INFORMACIÓ1. La comptabilitat: Concepte i objectius
2. Divisió de la comptabilitat d’empresa
3. Usuaris de la informació comptable
4. La comptabilitat financera
TEMA 2. EL PATRIMONI I EL MÈTODE COMPTABLE1. El patrimoni de l’empresa
1.1. Concepte
1.2. Elements patrimonials i masses patrimonials
1.3. El balanç de situació com expressió de l’equilibri patrimonial

2. Els instruments de representació comptable
2.1 El compte com instrument de representació comptable
2.1.1 Concepte i estructura del compte
2.1.2 Terminologia del compte
2.1.3 Convenis de càrrec i abonament
2.1.4 Casos pràctics
2.2 Els llibres de comptabilitat com instrument formal de representació comptable

3. El mètode comptable: La partida dobleTEMA 3. El CICLE COMPTABLE1. Concepte i fases del cicle comptable
2. Fase inicial o d’obertura
3. Fase de desenvolupament
4. Fase de conclusió o tancament
4.1 Regularització
4.2 Determinació del resultat
4.3 Assentament de tancament
5. Cicle Fiscal: IVA, retencions i societatsTEMA 4. NORMATIVA LEGAL DE LA COMPTABILITAT1. La regulació de la comptabilitat a Espanya
2. El Pla General de Comptabilitat: Estructura i funcionament
3. Elaboració de comptes anuals: Balanç inicial i final quant a masses patrimonials
4. Normativa de facturació: aspectes formalsTEMA 5. COMPRES I VENDES de béns i serveis1. Concepte, valoració i registre de COMPRES
2. Regularització d'existències
3. Procediment especulatiu de compres de mercaderies
3.1. Desdoblament de compres i vendes de mercaderies
3.2. Comparativa amb el procediment administratiu
4. Deteriorament de valor de les existències
5. Valoració i registre de les VENDES: Classificació per naturalesaTEMA 6. CREDITORS I DEUTORS PER OPERACIONS COMERCIALS1. Concepte i classificació del instruments financers comercials:
1.1. a cobrar
1.2. a pagar
2. Valoració dels instruments financers comercials
3. Clients:
3.1. Factura, Nota d’abonament, ALBARÀ i bestretes de clients
3.2. Gestió de cobraments
3.3. Cobrament dubtós i correccions de valors:
3.3.1. Estimació global
3.3.2. Estimació individual
4. Proveïdors:
4.1. Factura, Nota d’abonament, ALBARÀ i bestretes de proveïdors
4.2. Persones físiques factures amb retencions IRPFTEMA 7. INGRESSOS I DESPESES: DETERMINACIÓ DEL RESULTAT1.Ingressos
1.1. Import net de la xifra de negocis
1.2. Variació d’existències de Productes acabats i en curs
1.3. Altres ingressos d’explotació
2.Despeses
2.1. Aprovisionament
2.2. Personal
2.3. Altres despeses d’explotació
3.Operacions de tancament comptable
3.1. Periodificació d’ingressos i despeses
3.2. Regularització i deteriorament
4.Determinació del resultat"
"1740065750-6","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116912/guia_docent","Aquesta assignatura ofereix una exploració profunda dels principis i pràctiques fonamentals del màrqueting. L'assignatura està dissenyada per oferir tant coneixements teòrics com habilitats pràctiques, preparant els estudiants per als desafiaments reals del màrqueting en un entorn empresarial. A través d'estudis de cas, projectes i sessions interactives, els estudiants obtindran una comprensió completa dels principis del màrqueting.","Una Vida de Màrqueting: una exploració de l'omnipresència del màrqueting a la vida contemporàniaUbiqüitat del màrquetingLa colonització de totDemocràcia, capitalisme i màrquetingHistòria i evolució del màrquetingHistòria del màrqueting a través de 'The Century of the Self' (persuasió massiva i enginyeria del consentiment)Gestió de màrqueting: La disciplinaUna disciplina de gestióUna disciplina acadèmicaEl màrqueting com a professióEl màrqueting com a procés de negociMàrqueting estratègicLes eines i tècniques de màrqueting estratègic i planificació estratègica, tal com es pensen a les escoles de negocis d'arreu del mónMàrqueting creatiuExplorant el vincle entre la creativitat i l'èxit en el màrquetingL'entorn de màrquetingEl model d'entorn de màrquetingProblemes actuals i tendències en el macroentornInvestigació de màrqueting i privadesaUna introducció a la investigació de màrquetingTècniques d'investigació de màrqueting quantitatives i qualitativesInvestigació de màrqueting i privadesaEl consumidorComportament del consumidorTeoria de la cultura de consumFabricació de la demanda: SegmentacióUna introducció a l'elecció del consumidor i a les tècniques de segmentació del mercat'Sigues diferent'. PosicionamentIntroducció al posicionament en el mercat i la USP - Proposta de Venda Única"
"1740065758-7","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117282/guia_docent","Aquesta assignatura està organitzada en dues parts independents, però complementàries. 
Durant el primer quadrimestre, a l'apartat d'Història de la Comunicació, ens dedicarem a l'estudi de l'evolució històrica de les tecnologies, els mitjans, les organitzacions i les modalitats o formes de la comunicació social, des de la invenció de la impremta fins a l'actualitat, posant l'accent en les dimensions sociopolítica i sociocultural.
El segon quadrimestre es dedicarà a l'anàlisi de l'evolució i l'estructura del sistema comunicatiu actual, tant a nivell internacional com local. L'objectiu és fer una foto fixa dels grans grups empresarials dedicats a la comunicació i a la situació i tendències dels principals subsectors comunicatius.","Primera part: Història de la Comunicació1. Introducció de la primera part. Conceptes bàsics.2. Impremta, capitalisme, reforma i contrareforma3. Control civil i religiós a l’Edat Moderna: ús de la imatge, art, representació i propaganda4. Revolució, contrarevolució, propaganda i llibertat de premsa (s. XVIII). Els primers diaris. El naixement del periodisme modern5. El naixement de les telecomunicacions modernes: el telègraf i el telèfon6. El sorgiment de la premsa de masses (segle XIX) i de les agències de notícies i publicitat7. El món en imatges: gravats, fotografia, fotoperiodisme, revistes il•lustrades i cartellisme8. El teatre dels pobres: el naixement del cinema i els noticiaris cinematogràfics9. Naixement i expansió de la ràdio com a mitjà de masses (anys 20-40)10. L’era audiovisual: naixement i expansió de la televisió (anys 50 i 60)Segona part: Estructura de la Comunicació11. Introducció a la segona part. Fonaments teòrics i conceptuals12. Les grans tendències internacionals del sistema comunicatiu (anys 80 fins ara).13. Principals models i actors comunicatius internacionals: els grups multimèdia i els hòldings de publicitat i relacions públiques.14. Principals models i actors comunicatius internacionals: els gegants d’Internet.15. Principals actors del sistema comunicatiu espanyol i català: Els grups multimèdia i les grans empreses monomediàtiques, les empreses i els organismes d'investigació de mitjans; les associacions empresarials, professionals i d’usuaris16. El finançament de les empreses de mitjans de comunicació17. Estat actual i tendències del sector a Espanya: Les corporacions públiques i els organismes reguladors.18. Estat actual i tendències del sector a Espanya i a Catalunya: la premsa i les agències de notícies.19. Estat actual i tendències del sector a Espanya i a Catalunya: La ràdio.20. Estat actual i tendències del sector a Espanya i a Catalunya: La televisió.21. Estat actual i tendències del sector a Espanya i a Catalunya: el sector digital22. Estat actual i tendències del sector a Espanya i a Catalunya: els sectors editorial, cinematogràfic, fonogràfic i de producció audiovisual i multimèdia."
"1740065765-8","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117023/guia_docent","Amb aquesta assignatura l’alumnat es familiaritzarà i dominarà de manera elemental les diferents tecnologies de creació audiovisual. Obtindrà les habilitats tècniques suficients que li permetrà generar productes audiovisuals. Serà capaç de distingir i d’analitzar els diversos processos de producció audiovisual atenent a criteris com qualitat, costos, formats, temps o dificultat. L'assignatura es descomposa en tres blocs temàtics: Àudio, Vídeo i Internet.","Acústica bàsica
  
  La naturalesa del so.

  Propagació del so.

  Acústica fisiològica.
  
  Àudio digital
  
  Conversió Analògica-digital.

  Formats i compressió.
  
  Electroacústica
  
  Micròfons.

  Taules de mescla.

  Enregistrament.

  Processat.
  
  Estudi de so. Elements bàsics:
  
  Control tècnic.

  Locutori/peixera.
  
  Fonaments d'informàtica
  
  Parts d'un ordinador.

  Jerarquia de memòria.
  
  Internet i el fet digital.
  
  Origen i etapes d'internet.

  Repercussions del fet digital.
  
  Teoria de la llum
  
  Naturalesa de la llum.

  Fotometria. Unitats de mesura.

  Colorimetria. Temperatura de color.
  
  Òptica
  
  Característiques de la lent
  simple.

  Formació de la imatge.

  Blocs òptics.
  
  La càmera 
  
  Parts de la càmera.

  Funcionament de la càmera.

  Tipus de càmeres professionals de vídeo.

  Tipologia de plans i moviments de càmera.
  
  Sistemes de vídeo, TV i cinema
  
  Normes de TV.

  Formats de vídeo digitals:

  Resolucions SD, HD i UHD; Relació d'aspecte; Exploració entrellaçada i progressiva; Subsampling de croma; Profunditat de bits; Còdecs i contenidors; Vídeo processat (linial/logarítmic); RAW.

  Estudi de televisió. Elements
  bàsics:
  
  Control de realizació.

  Plató.

  Continuïtat."
"1740065773-9","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117015/guia_docent","Aquesta assignatura pretén que els alumnes consolidin els coneixements de la llengua catalana, tant orals com escrits, i coneguin els trets propis del seu dialecte que també formen part de la llengua estàndard, perquè els puguin utilitzar en les diferents situacions comunicatives formals en què es puguin trobar. També pretén que els alumnes consolidin els seus coneixements de la llengua atenent la diversitat lingüística i l'ús que se'n fa en els MCM i en la publicitat, i vol capacitar-los per redactar diferents tipus de textos (tant periodístics com publicitaris i de productes audiovisuals) en català, tenint en compte la correcció i l'adequació al seu univers comunicatiu. Finalment, també pretén reflexionar sobre l'ús de la llengua en els MCM, centrant també l'atenció en els llibres d'estil d'aquests mitjans.","1. L’estàndard i la diversitat lingüística    1.1 Tipologies lingüístiques    1.2 La varietat dialectal comuna: la llengua estàndard    1.3 La variació estilística    1.4 L'adequació lingüística2. La variació lingüística i la tradició escrita    2.1 El procés de normalització lingüística i l'estandardització de la llengua catalana    2.2 El català abans de Pompeu Fabra i els principis de la codificació fabriana3. Els mitjans de comunicació escrits, un reflex de la diversitat lingüística    3.1 La varietat estàndard als MCE    3.2 Els llibres d'estil dels MCE: les opcions lingüístiques escollides4. El discurs escrit    4.1 Característiques lingüístiques de la llengua escrita    4.2 Anàlisi dels diferents usos del discurs escrit5. La norma escrita i l'estàndard oral: aixopluc o constricció6. Els mitjans de comunicació orals, un reflex de la diversitat lingüística    6.1 Els models de llengua als MCO    6.2 El discurs oral als MCO 7. La Proposta d'estàndard oral de la llengua catalana    7.1 Consideracions generals    7.2 Anàlisi de la Proposta    7.3 Els llibres d'estil dels diferents MCO, complements de la Proposta"
"1740065780-10","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117016/guia_docent","L'objectiu de l'assignatura és l'aprofundiment en el domini de l'estàndard escrit i oral de la llengua espanyola, a fi de reforçar les competències comunicatives de l'alumnat amb vista a l'exercici professional.","1.
L'espanyol estàndard i les varietats de la llengua espanyola.2.
El nivell fonètic i fonològic. Ortografia.3.
El nivell morfosintàctic.4.
El nivell lèxic-semàntic.















5.
El nivell textual."
