web-scraper-order,web-scraper-start-url,learning-results
"1740065335-1","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116741/guia_docent","COT3 - Aplicar els principis i els valors democràtics incloent-hi la perspectiva de gènere - COT3.2-Incorporar la perspectiva de gènere als arguments, a les produccions i a la presa de decisions"
"1740065335-2","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116741/guia_docent","COT3.2-Incorporar la perspectiva de gènere als arguments, a les produccions i a la presa de decisions"
"1740065335-3","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116741/guia_docent","ADE_K2 - Identificar la naturalesa i el funcionament d'una empresa o una altra institució pública o privada i de les seves àrees funcionals - K2.1-Relacionar els coneixements sobre la naturalesa d'una empresa i el seu entorn econòmic."
"1740065335-4","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116741/guia_docent","K2.1-Relacionar els coneixements sobre la naturalesa d'una empresa i el seu entorn econòmic."
"1740065335-5","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116741/guia_docent","COT3 - Aplicar els principis i els valors democràtics incloent-hi la perspectiva de gènere - COT3.3-Incorporar els conceptes ètics i deontològics de l'àrea de coneixement als arguments, a les produccions i a la presa de decisions"
"1740065335-6","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116741/guia_docent","COT3.3-Incorporar els conceptes ètics i deontològics de l'àrea de coneixement als arguments, a les produccions i a la presa de decisions"
"1740065335-7","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116741/guia_docent","COT3 - Aplicar els principis i els valors democràtics incloent-hi la perspectiva de gènere - COT3.1-Incorporar la perspectiva mediambiental als arguments, a les produccions i a la presa de decisions"
"1740065335-8","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116741/guia_docent","COT3.1-Incorporar la perspectiva mediambiental als arguments, a les produccions i a la presa de decisions"
"1740065339-9","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116906/guia_docent","ADE_SE2   - Avaluar informació quantitativa de caràcter financer-comptable, econòmic i social, rellevant per a la presa de decisions empresarials - SE2.2-Aplicar els instruments matemàtics bàsics per a l'anàlisi i la interpretació de dades econòmiques."
"1740065339-10","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116906/guia_docent","SE2.2-Aplicar els instruments matemàtics bàsics per a l'anàlisi i la interpretació de dades econòmiques."
"1740065343-11","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116905/guia_docent","ADE_SE2   - Avaluar informació quantitativa de caràcter financer-comptable, econòmic i social, rellevant per a la presa de decisions empresarials - SE2.5-Aplicar el Pla General de Comptabilitat a les diferents transaccions econòmiques de l'empresa."
"1740065343-12","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116905/guia_docent","SE2.5-Aplicar el Pla General de Comptabilitat a les diferents transaccions econòmiques de l'empresa."
"1740065349-13","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116881/guia_docent","ADE_SE2   - Avaluar informació quantitativa de caràcter financer-comptable, econòmic i social, rellevant per a la presa de decisions empresarials - SE2.2-Aplicar els instruments matemàtics bàsics per a l'anàlisi i la interpretació de dades econòmiques."
"1740065349-14","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116881/guia_docent","SE2.2-Aplicar els instruments matemàtics bàsics per a l'anàlisi i la interpretació de dades econòmiques."
"1740065354-15","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116740/guia_docent","ADE_K2 - Identificar la naturalesa i el funcionament d'una empresa o una altra institució pública o privada i de les seves àrees funcionals - K2.3-Identificar la comptabilitat financera com a font d'informació per a la gestió d'empreses"
"1740065354-16","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116740/guia_docent","K2.3-Identificar la comptabilitat financera com a font d'informació per a la gestió d'empreses"
"1740065360-17","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116912/guia_docent","ST3 - Explicar informació de manera clara i precisa, oralment i per escrit, a audiències diverses - ST3.3-Produir un text de qualitat (sense errors gramaticals ni ortogràfics, amb una presentació formal acurada i un ús adequat i coherent de les convencions formals i bibliogràfiques) [comunicació escrita]"
"1740065360-18","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116912/guia_docent","ST3.3-Produir un text de qualitat (sense errors gramaticals ni ortogràfics, amb una presentació formal acurada i un ús adequat i coherent de les convencions formals i bibliogràfiques) [comunicació escrita]"
"1740065360-19","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116912/guia_docent","ST3 - Explicar informació de manera clara i precisa, oralment i per escrit, a audiències diverses - ST3.2-Usar els mecanismes de comunicació verbals, no verbals i paraverbals per comunicar-se de manera efectiva amb un auditori [comunicació oral]"
"1740065360-20","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116912/guia_docent","ST3.2-Usar els mecanismes de comunicació verbals, no verbals i paraverbals per comunicar-se de manera efectiva amb un auditori [comunicació oral]"
"1740065360-21","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116912/guia_docent","ST3 - Explicar informació de manera clara i precisa, oralment i per escrit, a audiències diverses - ST3.1-Construir un discurs estructurat, clar, cohesionat, ric i adequat [comunicació oral]"
"1740065360-22","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116912/guia_docent","ST3.1-Construir un discurs estructurat, clar, cohesionat, ric i adequat [comunicació oral]"
"1740065360-23","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116912/guia_docent","ST3 - Explicar informació de manera clara i precisa, oralment i per escrit, a audiències diverses - ST3.4-Redactar un text adequat a la situació comunicativa que sigui estructurat, clar, cohesionat, ric i de extensió adequada [comunicació escrita]"
"1740065360-24","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116912/guia_docent","ST3.4-Redactar un text adequat a la situació comunicativa que sigui estructurat, clar, cohesionat, ric i de extensió adequada [comunicació escrita]"
