web-scraper-order,web-scraper-start-url,professors,professors-href
"1740065376-1","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116741/guia_docent","Coca Sánchez,  Javier","http://www.urv.cat/html/docencia-per-centre/general-I41573.php"
"1740065376-2","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116741/guia_docent","Soria Leyva,  Eddy","http://www.urv.cat/html/docencia-per-centre/general-I96180.php"
"1740065413-3","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117282/guia_docent","López López,  Bernat","http://www.urv.cat/html/docencia-per-centre/general-I7347.php"
"1740065420-4","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117023/guia_docent","Gil Fargas,  Gerard","http://www.urv.cat/html/docencia-per-centre/general-I35709.php"
"1740065420-5","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117023/guia_docent","Mauri Estupiñà,  David","http://www.urv.cat/html/docencia-per-centre/general-I13561.php"
"1740065445-6","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117003/guia_docent","Gavalda Dattoli,  Elena","http://www.urv.cat/html/docencia-per-centre/general-I114713.php"
"1740065452-7","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117029/guia_docent","Araüna Baro,  Nuria","http://www.urv.cat/html/docencia-per-centre/general-I25327.php"
"1740065467-8","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117022/guia_docent","Oliveras Jané,  Neus","http://www.urv.cat/html/docencia-per-centre/general-I1788.php"
"1740065480-9","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117004/guia_docent","Hernández Fernández,  Alexander José","http://www.urv.cat/html/docencia-per-centre/general-I49230.php"
"1740065480-10","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117004/guia_docent","Lahoz Avendaño,  Ricard","http://www.urv.cat/html/docencia-per-centre/general-I14284.php"
"1740065493-11","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3561/assignatures/117283/guia_docent","López López,  Bernat","http://www.urv.cat/html/docencia-per-centre/general-I7347.php"
"1740065498-12","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3561/assignatures/117013/guia_docent","Gil Fargas,  Gerard","http://www.urv.cat/html/docencia-per-centre/general-I35709.php"
"1740065498-13","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3561/assignatures/117013/guia_docent","Mauri Estupiñà,  David","http://www.urv.cat/html/docencia-per-centre/general-I13561.php"
"1740065517-14","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3561/assignatures/117006/guia_docent","Gavalda Dattoli,  Elena","http://www.urv.cat/html/docencia-per-centre/general-I114713.php"
"1740065522-15","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3561/assignatures/117005/guia_docent","Araüna Baro,  Nuria","http://www.urv.cat/html/docencia-per-centre/general-I25327.php"
