id,original,detected_language,confidence,translated_text
101,principis d'economia aplicada,cat,0.924228250980377,principles of economics applied
102,administració d'empreses,cat,0.978375732898712,administration of companies
103,dret mercantil,cat,0.815323412418366,mercantile law
104,estadística 1,cat,0.961453557014465,statistics 1
105,introducció a l'economia,cat,0.977343201637268,introduction at the economics
106,introducció a la comptabilitat,cat,0.959679245948792,introduction at the accounting
107,matemàtiques 1,cat,0.949541330337524,mathematicians 1
108,comptabilitat financera,cat,0.700393795967102,financial accounting
109,macroeconomia,cat,0.656534969806671,macroeconomy
110,matemàtiques 2,cat,0.951704800128937,mathematicians 2
111,organització d'empreses,cat,0.994008660316467,organisation of companies
112,principis d'economia aplicada,cat,0.924228250980377,principles of economics applied
113,història econòmica,cat,0.974721074104309,economic history
114,estudis en el marc de convenis de mobilitat 1,cat,0.88937509059906,surveys at the frame of agreements of mobility 1
115,dret mercantil,cat,0.815323412418366,mercantile law
116,estadística 1,cat,0.961453557014465,statistics 1
117,introducció a l'economia,cat,0.977343201637268,introduction at the economics
118,introducció a la comptabilitat,cat,0.959679245948792,introduction at the accounting
119,matemàtiques 1,cat,0.949541330337524,mathematicians 1
120,comptabilitat financera,cat,0.700393795967102,financial accounting
121,macroeconomia,cat,0.656534969806671,macroeconomy
122,matemàtiques 2,cat,0.951704800128937,mathematicians 2
123,organització d'empreses,cat,0.994008660316467,organisation of companies
124,principis d'economia aplicada,cat,0.924228250980377,principles of economics applied
125,fonaments de màrqueting,cat,0.909513652324677,bedrocks of marketing
126,dret mercantil,cat,0.815323412418366,mercantile law
127,estadística 1,cat,0.961453557014465,statistics 1
128,introducció a l'economia,cat,0.977343201637268,introduction at the economics
129,introducció a la comptabilitat,cat,0.959679245948792,introduction at the accounting
130,matemàtiques 1,cat,0.949541330337524,mathematicians 1
131,comptabilitat financera,cat,0.700393795967102,financial accounting
132,macroeconomia,cat,0.656534969806671,macroeconomy
133,matemàtiques 2,cat,0.951704800128937,mathematicians 2
134,organització d'empreses,cat,0.994008660316467,organisation of companies
135,principis d'economia aplicada,cat,0.924228250980377,principles of economics applied
136,fonaments de màrqueting,cat,0.909513652324677,bedrocks of marketing
137,adaptació a l'economia i al marketing,cat,0.935003578662872,adaptation at the economics and at the *marketing
138,adaptació a l'enologia,cat,0.923779726028442,adaptation at the oenology
139,adaptació a la geografia,cat,0.95638370513916,adaptation at the geography
140,adaptació a la pràctica enològica,cat,0.997145414352417,adaptation in all but name *enològica
141,adaptació al turisme,cat,0.949060440063477,adaptation at the tourism
142,màrqueting enoturístic,cat,0.95005190372467,marketing *enoturístic
143,patrimoni enoturístic: disseny d'experiències i eines d'interpretació,cat,0.952779948711395,heritage *enoturístic: design of experiences and tools of rendition
144,patrimoni vitivinícola i: història i territoris,cat,0.895532488822937,heritage *vitivinícola and: history and territories
145,planificació i desenvolupament sostenible de l'enoturisme,cat,0.922167778015137,planning and sustainable development of the *enoturisme
146,producció de vins escumosos,cat,0.992066144943237,production of wines *escumosos
147,digitalització a l'enoturisme,cat,0.970726728439331,digitalisation at the *enoturisme
148,gestió d'empreses enoturístiques: cap a pràctiques sostenibles,cat,0.891484022140503,management of companies *enoturístiques: to sustainable practices
149,patrimoni vitivinícola 2: cultures i mercats del vi,cat,0.739944458007813,heritage *vitivinícola 2: cultures and markets of the wine
150,producció de vins dolços i de criança,cat,0.970458686351776,production of mellow wines and of breeding
151,pràctiques académiques externes en enoturisme,cat,0.649162769317627,practical *académiques external at *enoturisme
152,"tipicitats del vi, maridatge, servei i tast",cat,0.849190473556519,"*tipicitats of the wine, *maridatge, kick and taste"
153,bioètica i investigació en ciències dels cuidatges,cat,0.997564792633057,bioethics and inquest at sciences of the *cuidatges
154,epistemologia i marcs conceptuals per a la investigació en infermeria,cat,0.939499616622925,epistemology and conceptual frames for the inquest at infirmary
155,instruments de recerca bibliogràfica,cat,0.917907357215881,instruments of bibliographic enquiry
156,investigació avançada en cuidatges,cat,0.970421433448792,inquest advanced at *cuidatges
157,investigació en infermeria des de la perspectiva de gènere,cat,0.960601687431335,inquest at infirmary since the perspective of genus
158,investigació aplicada en l'educació per a la salut,cat,0.994425654411316,inquest applied at the nurture for the health
159,investigació en cultura i cuidatge,cat,0.97796767950058,inquest at culture and *cuidatge
160,investigació en qualitat de vida i benestar emocional,cat,0.958121836185455,inquest at living quality and emotional welfare
161,"investigació, gestió i lideratge en cuidatges",cat,0.989335954189301,"inquest, management and leadership at *cuidatges"
162,mètodes estadístics en data science,cat,0.939549326896667,statistical methods at date *science
163,projectes en metodologia i innovació docent,cat,0.960419595241547,projects at methodology and educational innovation
164,tècniques d'assessorament i coaching en la recerca i pràctica en infermeria,cat,0.905771672725677,technicians of advice and *coaching at the enquiry and practice at infirmary
165,ètica dels cuidatges,cat,0.971335887908936,ethic of the *cuidatges
166,disseny de projectes de recerca i comunicació científica de resultats,cat,0.964871466159821,design of projects of enquiry and scientific communication of results
167,investigació i anàlisi quantitativa,cat,0.988372445106506,inquest and quantitative analysis
168,investigació qualitativa,cat,0.963307559490204,qualitative inquest
169,treball de fi de màster,cat,0.826329469680786,work of end of *màster
170,avaluació de mitjans i materials d'ensenyaments,cat,0.949649751186371,appraisal of modes and materials of educations
171,comunicació audiovisual en xarxa,cat,0.970787942409515,audiovisual communication at mesh
172,creació de continguts per a formació online,cat,0.987287700176239,creation of contents for online training
173,desenvolupament professional del docent en relació amb les td,cat,0.989039480686188,professional development of the educational in regard to the *td
174,difusió i transferència,cat,0.999440491199493,diffusion and transfer
175,disseny d'investigació,cat,0.958668172359467,design of inquest
176,disseny de projectes d'innovació en educació,cat,0.98786598443985,design of projects of innovation at nurture
177,disseny i desenvolupament d'entorns tecnològics per a la formació,cat,0.985859811306,design and development of technological environments for the training
178,disseny i desenvolupament de materials de formació,cat,0.9506915807724,design and development of materials of training
179,eines digitals per a la docència,cat,0.898041725158691,digital tools for the teaching
180,eines i tècniques per a la recollida i l'anàlisi de dades,cat,0.939574599266052,tools and technicians for the collection and the analysis of data
181,entorns flexibles de formació,cat,0.945244431495667,flexible environments of training
182,espais i eines per al treball col·laboratiu,cat,0.982404768466949,rooms and tools for the collaborative work
183,gestió del coneixement en les organitzacions,cat,0.983981251716614,management of the ken at the organisations
184,les td en l'àmbit no formal,cat,0.756036818027496,the *td at the no formal field
185,metodologia d'investigació en tecnologia educativa,cat,0.955385148525238,methodology of inquest at educational tech
186,organització i gestió de l'ús de les td a l'ensenyament,cat,0.978771090507507,organisation and management of the use of the *td at the education
187,"producció i integració d'imatge, àudio i vídeo digital",cat,0.996847450733185,"production and integration of image, audio and digital video"
188,pràctiques acadèmiques externes,cat,0.835343658924103,external academic practices
189,societat en xarxa i ciutadania digital,cat,0.963736176490784,society at mesh and digital citizenry
190,treball de fi de màster,cat,0.826329469680786,work of end of *màster
191,ètica digital aplicada,cat,0.950782060623169,ethic digital applied
192,"comunicació, interacció i col·laboració",cat,0.999979615211487,"communication, interaction and collaboration"
193,disseny de projectes curriculars amb l'ús de les td,cat,0.944806635379791,design of projects *curriculars with the use of the *td
194,tecnologies digitals en la formació,cat,0.934380948543549,digital techs at the training
195,aportacions metodològiques del pensament jurídic,cat,0.937495470046997,methodological contributions of the juridical thought
196,contractació immobiliària,cat,0.988511443138123,real-estate contracting
197,contractació laboral nacional i internacional,cat,0.954114735126495,national labour contracting and international
198,contractació mercantil,cat,0.95860230922699,mercantile contracting
199,dret concursal,cat,0.896855354309082,law *concursal
200,dret de societats,cat,0.850258886814117,law of societies
201,fiscalitat de l'empresa,cat,0.881183981895447,taxation of the company
202,fiscalitat de la contractació,cat,0.958164989948273,taxation of the contracting
203,la prova en la litigació empresarial i dels negocis,cat,0.989778220653534,the proof at the *litigació business and of the bargains
204,litigació en els negocis internacionals,cat,0.996664941310883,*litigació at the international bargains
205,noves perspectives del dret contractual,cat,0.808494687080383,new perspectives of the contractual law
206,pràctiques acadèmiques externes,cat,0.835343658924103,external academic practices
207,resolució judicial de conflictes i arbitratge,cat,0.926486849784851,judicial resolution of conflicts and arbitrage
208,treball de fi de màster,cat,0.826329469680786,work of end of *màster
209,introducció al dret i al sistema jurídic espanyol,cat,0.987027585506439,introduction at the law and at the Spanish juridical system
210,pràctica civil,cat,0.943121314048767,civil practice
211,"pràctica constitucional, europea i internacional",cat,0.932038486003876,"constitutional practice, European and international"
212,pràctica processal civil,cat,0.922203421592712,civil procedural practice
213,pràctica processal general,cat,0.923050105571747,general procedural practice
214,"normativa col·legial, deontologia i torn d'ofici",cat,0.974089205265045,"collegiate rule, deontology and turn of job"
215,pràctica laboral i de l'ordre jurisdiccional social,cat,0.851968050003052,labour practice and of the social jurisdictional order
216,pràctica professional i tècniques de comunicació i probatòries,cat,0.98538076877594,professional practice and technicians of communication and evidential
217,pràctica tributària i mercantil per a l'exercici de l'advocacia i la procura,cat,0.948380649089813,practice *tributària and mercantile for the exercise of the advocacy and the procuration
218,pràctiques jurídiques,cat,0.847429811954498,juridical practices
219,pràctica administrativa i contenciosa-administrativa,cat,0.926966726779938,administrative and contentious practice-administrative
220,pràctica penal,cat,0.95693439245224,penal practice
221,pràctica processal penal,cat,0.936621963977814,penal procedural practice
222,estada de pràctiques externes 1,cat,0.911556780338287,stay of external practices 1
223,estada de pràctiques externes 2,cat,0.914299607276917,stay of external practices 2
224,treball fi de màster,cat,0.83011668920517,fine work of *màster
225,antropologia social i cultural,cat,0.689995765686035,social and cultural anthropology
226,fonaments del treball social,cat,0.739735126495361,bedrocks of the social work
227,habilitats del treballador/a social,cat,0.826663732528687,abilities of the worker/at social
228,psicologia social,cat,0.710807263851166,social psychology
229,sociologia,cat,0.636843323707581,sociology
230,comunicació i societat de la informació,cat,0.99371737241745,communication and society of the information
231,habilitats socials i comunicació interpersonal,cat,0.962601900100708,social abilities and interpersonal communication
232,marginació i exclusió social,cat,0.996170520782471,deprivation and social exclusion
233,pedagogia social,cat,0.719129741191864,social pedagogy
234,política social,cat,0.891498744487763,social politician
235,intervenció social en l'àmbit de les addiccions,cat,0.909060478210449,social intervention at the field of the addictions
236,treball social en l'àmbit educatiu,cat,0.85936051607132,social work at the educational field
237,treball social gerontològic,cat,0.915328145027161,social work *gerontològic
238,treball social i infància,cat,0.812393665313721,social work and infancy
239,treball social en el sistema sanitari,cat,0.81842428445816,social work at the sanitary system
240,treball social i diversitat funcional,cat,0.843310713768005,social work and functional diversity
241,treball social i emprenedoria social,cat,0.824375450611115,social work and social entrepreneurship
242,treball social i trastorns mentals,cat,0.750979721546173,social work and *trastorns mental
243,estadística aplicada a l'arqueologia,cat,0.955377399921417,statistics applied at the archaeology
244,geologia del quaternari,cat,0.736558854579926,geology of the quaternary
245,mètodes d'excavació i registre en arqueologia del quaternari,cat,0.963539242744446,methods of excavation and registry at archaeology of the quaternary
