original,detected_language,confidence,translated_text
geometria descriptiva 1,ca,100,descriptive geometry 1
gràfica arquitectònica 1,ca,100,Architectural 1
introducció a projectes 1,ca,100,introduction to projects 1
matemàtiques 1,ca,100,mathematics 1
teoria 1,ca,100,theory 1
tècnica 1,ca,100,technical 1
geometria descriptiva 2,ca,100,descriptive geometry 2
gràfica arquitectònica 2,ca,100,Architectural 2
introducció a projectes 2,ca,100,introduction to projects 2
matemàtiques 2,ca,100,mathematics 2
teoria 2,ca,100,theory 2
tècnica 2,ca,100,tècnica 2
gràfica arquitectònica 2i,ca,100,Architectural 2i
activitats amb ciutadania i pacients,ca,100,activities with citizenship and patients
biomedicina per a enginyers,ca,100,biomedicine for engineers
estadística biomèdica,ca,100,biomedical statistics
històries clíniques digitals,ca,100,digital clinical stories
imatge mèdica,ca,100,medical image
programació científica,ca,100,Scientific programming
reptes biomèdics i ciència de dades,ca,100,biomedical concepts and data science
anàlisi avançada de dades de salut,ca,100,advanced analysis of health data
aprenentatge automàtic,ca,100,machine learning
computació d'altes prestacions i distribuïda,ca,100,high performance and distributed computing
escola d'estiu,ca,100,summer school
laboratori de negocis,ca,100,laboratory of business
anàlisi de dades de salut ambiental,ca,100,environmental health data analysis
aprenentatge profund,ca,100,deep learning
ciències-òmiques i medicina translacional,ca,100,genomic sciences and translational medicine
diagnòstic i presa de decisions assistida per ordinador,ca,100,diagnostic and computer-assisted decision making
epidemiologia computacional,ca,100,computational epidemiology
iot per a salut,ca,100,iot for health
metodologia de la recerca i de projectes,ca,100,research and project methodology
mineria de textos de salut,ca,100,mineria de textos de salut
proteòmica per a la investigació en salut,ca,100,proteomics for health research
"ètica, regulació i privacitat",ca,100,"ethics, regulation and privacy"
anàlisi avançada d'imatge mèdica,ca,100,Advanced Medical Imaging Analysis
eines per a la neuroenginyeria i la neuroimatge,ca,100,tools for neuroengineering and neuroimaging
integració de dades de salut,ca,100,integration of health data
predicció del comportament dinàmic en xarxes moleculars,ca,100,Prediction of dynamic behavior in molecular networks
pràctiques acadèmiques externes en empresa,ca,100,external academic practices in business
treball de fi de màster,ca,100,Final Masterwork
sensors biomèdics i processat de senyal,ca,100,biomedical sensors and signal processing
visualització i comunicació de dades en salut,ca,100,visualization and communication of data in health
xarxes complexes,ca,100,complex networks
dret de la seguretat i salut en el treball,ca,100,right of safety and health at work
"gestió, formació i informació aplicades a la prevenció",ca,100,"management, training and information applied to prevention"
higiene industrial,ca,100,industrial hygiene
"medicina, ergonomia i psicosociologia aplicades a la prevenció",ca,100,"medicine, ergonomics and psychosociology applied to prevention"
seguretat en el treball,ca,100,security in labour
especialització en ergonomia,ca,100,specialisation in ergonomics
especialització en higiene industrial,ca,100,specialization in industrial hygiene
especialització en psicosociologia,ca,100,specialisation in psychosociology
especialització en seguretat en el treball,ca,100,specialization in safety at work
pràctiques acadèmiques externes,ca,100,external academic practices
treball de fi de màster,ca,100,Final Masterwork
dret mercantil,ca,100,mercantile right
estadística 1,ca,100,statistics 1
fonaments de màrqueting,ca,100,marketing releases
introducció a l'economia,ca,100,introduction to economics
introducció a la comptabilitat,ca,100,introduction to accounting
matemàtiques 1,ca,100,mathematics 1
comptabilitat financera,ca,100,financial accounting
direcció estratègica de màrqueting,ca,100,strategic marketing direction
macroeconomia,ca,100,macroeconomia
matemàtiques 2,ca,100,mathematics 2
organització d'empreses,ca,100,organisation of companies
principis d'economia aplicada,ca,100,principles of applied economy
dret mercantil,ca,100,mercantile right
estadística 1,ca,100,statistics 1
introducció a l'economia,ca,100,introduction to economics
introducció a la comptabilitat,ca,100,introduction to accounting
matemàtiques 1,ca,100,mathematics 1
comptabilitat financera,ca,100,financial accounting
macroeconomia,ca,100,macroeconomia
matemàtiques 2,ca,100,mathematics 2
organització d'empreses,ca,100,organisation of companies
principis d'economia aplicada,ca,100,principles of applied economy
sociologia de l'empresa,ca,100,sociology of the company
fonaments de màrqueting,ca,100,marketing releases
dret mercantil,ca,100,mercantile right
estadística 1,ca,100,statistics 1
introducció a l'economia,ca,100,introduction to economics
introducció a la comptabilitat,ca,100,introduction to accounting
matemàtiques 1,ca,100,mathematics 1
comptabilitat financera,ca,100,financial accounting
macroeconomia,ca,100,macroeconomia
matemàtiques 2,ca,100,mathematics 2
organització d'empreses,ca,100,organisation of companies
principis d'economia aplicada,ca,100,principles of applied economy
sociologia de l'empresa,ca,100,sociology of the company
fonaments de màrqueting,ca,100,marketing releases
dret mercantil,ca,100,mercantile right
estadística 1,ca,100,statistics 1
introducció a l'economia,ca,100,introduction to economics
introducció a la comptabilitat,ca,100,introduction to accounting
matemàtiques 1,ca,100,mathematics 1
comptabilitat financera,ca,100,financial accounting
macroeconomia,ca,100,macroeconomia
matemàtiques 2,ca,100,mathematics 2
organització d'empreses,ca,100,organisation of companies
fiscalitat de l'empresa,ca,100,fascility of the company
fiscalitat de la contractació,ca,100,fascility of recruitment
la prova en la litigació empresarial i dels negocis,ca,100,the proof in business and business litigation
litigació en els negocis internacionals,ca,100,litigation in international business
noves perspectives del dret contractual,ca,100,new perspectives on contractual law
pràctiques acadèmiques externes,ca,100,external academic practices
resolució judicial de conflictes i arbitratge,ca,100,judicial resolution of conflicts and arbitration
treball de fi de màster,ca,100,Final Masterwork
introducció al dret i al sistema jurídic espanyol,ca,100,introduction to Spanish law and legal system
pràctica civil,ca,100,civil practice
"pràctica constitucional, europea i internacional",ca,100,"constitutional, European and international practice"
pràctica processal civil,ca,100,civil procedural practice
pràctica processal general,ca,100,general procedural practice
"normativa col·legial, deontologia i torn d'ofici",ca,100,"collegial norm, deontology and office shift"
pràctica laboral i de l'ordre jurisdiccional social,ca,100,labor practice and social jurisdictional order
pràctica professional i tècniques de comunicació i probatòries,ca,100,professional practice and communication and probation techniques
pràctica tributària i mercantil per a l'exercici de l'advocacia i la procura,ca,100,Tax and mercantile practice for the exercise of law and prosecution
pràctiques jurídiques,ca,100,legal practices
pràctica administrativa i contenciosa-administrativa,ca,86,administrative and contentious-administrative practice
pràctica penal,ca,100,criminal practice
pràctica processal penal,ca,100,criminal procedural practice
estada de pràctiques externes 1,ca,100,stay of external practices 1
estada de pràctiques externes 2,ca,100,stay of external practices 2
treball fi de màster,ca,100,Final Masterwork
antropologia social i cultural,ca,100,social and cultural anthropology
fonaments del treball social,ca,100,fonaments of social work
habilitats del treballador/a social,ca,100,skills of social worker
psicologia social,ca,100,social psychology
sociologia,ca,100,sociology
comunicació i societat de la informació,ca,100,communication and information society
habilitats socials i comunicació interpersonal,ca,100,social skills and interpersonal communication
marginació i exclusió social,ca,100,margination and social exclusion
pedagogia social,ca,100,social pedagogy
política social,ca,100,socialpolitical
intervenció social en l'àmbit de les addiccions,ca,100,social intervention in the field of addictions
treball social en l'àmbit educatiu,ca,100,social work in the educational field
treball social gerontològic,ca,100,gerontological social work
treball social i infància,ca,100,social work and childhood
treball social en el sistema sanitari,ca,100,social work in the health system
treball social i diversitat funcional,ca,100,social work and functional diversity
treball social i emprenedoria social,ca,100,social work and social entrepreneurship
treball social i trastorns mentals,ca,100,social work and mental disorders
estadística aplicada a l'arqueologia,ca,100,statistics applied to archaeology
geologia del quaternari,ca,100,geology of the quaternary
mètodes d'excavació i registre en arqueologia del quaternari,ca,100,excavation methods and registration in quaternary archaeology
paleoecologia humana,ca,100,human paleoecology
prehistòria d'europa,ca,100,prehistory of Europe
prehistòria d'àfrica,ca,100,prehistory of Africa
prehistòria d'àsia i oceania,ca,100,asia and oceania prehistory
elaboració de tesi de màster,ca,100,master's thesis elaboration
epistemologia i teoria del coneixement en arqueologia,ca,100,epistemology and knowledge theory in archaeology
evolució humana,ca,100,human evolution
treball de fi de màster,ca,100,Final Masterwork
anàlisi microscòpica en arqueologia,ca,100,microscopic analysis in archaeology
arqueobotànica,ca,100,archobotany
arqueologia de la ment i cognició,ca,100,archaeology of mind and cognition
arqueologia experimental,ca,100,experimental archaeology
caracterització cristal·logràfica i química de materials arqueològics,ca,100,crystallographic and chemical characterization of archaeological materials
conservació i restauració en arqueologia plistocènica,ca,100,conservation and restoration in Pleistocene archaeology
etnoarqueologia,ca,100,etnoarqueologia
paleontologia de mamífers: sistemàtica i  evolució,ca,100,mammalian pathology: systematics and evolution
prehistòria d'amèrica,ca,100,prehistory of America
prehistòria de la península ibèrica,ca,100,prehistory of the Iberian Peninsula
tecnologia lítica,ca,100,Lithic technology
zooarqueologia i tafonomia,ca,100,zoo archaeology and taphonomy
prehistòria d'àfrica,ca,100,prehistory of Africa
elaboració de tesi de màster,ca,100,master's thesis elaboration
epistemologia i teoria del coneixement en arqueologia,ca,100,epistemology and knowledge theory in archaeology
evolució humana,ca,100,human evolution
treball de fi de màster,ca,100,Final Masterwork
anàlisi microscòpica en arqueologia,ca,100,microscopic analysis in archaeology
arqueobotànica,ca,100,archobotany
arqueologia de la ment i cognició,ca,100,archaeology of mind and cognition
arqueologia experimental,ca,100,experimental archaeology
caracterització cristal·logràfica i química de materials arqueològics,ca,100,crystallographic and chemical characterization of archaeological materials
conservació i restauració en arqueologia plistocènica,ca,100,conservation and restoration in Pleistocene archaeology
etnoarqueologia,ca,100,etnoarqueologia
paleontologia de mamífers: sistemàtica i  evolució,ca,100,mammalian pathology: systematics and evolution
prehistòria d'amèrica,ca,100,prehistory of America
prehistòria de la península ibèrica,ca,100,prehistory of the Iberian Peninsula
tecnologia lítica,ca,100,Lithic technology
zooarqueologia i tafonomia,ca,100,zoo archaeology and taphonomy
estadística aplicada a l'arqueologia,ca,100,statistics applied to archaeology
geologia del quaternari,ca,100,geology of the quaternary
mètodes d'excavació i registre en arqueologia del quaternari,ca,100,excavation methods and registration in quaternary archaeology
paleoecologia humana,ca,100,human paleoecology
prehistòria d'europa,ca,100,prehistory of Europe
prehistòria d'àfrica,ca,100,prehistory of Africa
prehistòria d'àsia i oceania,ca,100,asia and oceania prehistory
elaboració de tesi de màster,ca,100,master's thesis elaboration
epistemologia i teoria del coneixement en arqueologia,ca,100,epistemology and knowledge theory in archaeology
evolució humana,ca,100,human evolution
treball de fi de màster,ca,100,Final Masterwork
anàlisi microscòpica en arqueologia,ca,100,microscopic analysis in archaeology
arqueobotànica,ca,100,archobotany
arqueologia de la ment i cognició,ca,100,archaeology of mind and cognition
arqueologia experimental,ca,100,experimental archaeology
caracterització cristal·logràfica i química de materials arqueològics,ca,100,crystallographic and chemical characterization of archaeological materials
conservació i restauració en arqueologia plistocènica,ca,100,conservation and restoration in Pleistocene archaeology
etnoarqueologia,ca,100,etnoarqueologia
principis d'economia aplicada,ca,100,principles of applied economy
administració d'empreses,ca,100,business administration
dret mercantil,ca,100,mercantile right
estadística 1,ca,100,statistics 1
introducció a l'economia,ca,100,introduction to economics
introducció a la comptabilitat,ca,100,introduction to accounting
matemàtiques 1,ca,100,mathematics 1
comptabilitat financera,ca,100,financial accounting
macroeconomia,ca,100,macroeconomia
matemàtiques 2,ca,100,mathematics 2
organització d'empreses,ca,100,organisation of companies
principis d'economia aplicada,ca,100,principles of applied economy
història econòmica,ca,100,economic history
estudis en el marc de convenis de mobilitat 1,ca,100,studies in the framework of mobility agreements 1
dret mercantil,ca,100,mercantile right
estadística 1,ca,100,statistics 1
introducció a l'economia,ca,100,introduction to economics
introducció a la comptabilitat,ca,100,introduction to accounting
matemàtiques 1,ca,100,mathematics 1
comptabilitat financera,ca,100,financial accounting
macroeconomia,ca,100,macroeconomia
matemàtiques 2,ca,100,mathematics 2
organització d'empreses,ca,100,organisation of companies
principis d'economia aplicada,ca,100,principles of applied economy
fonaments de màrqueting,ca,100,marketing releases
dret mercantil,ca,100,mercantile right
estadística 1,ca,100,statistics 1
introducció a l'economia,ca,100,introduction to economics
introducció a la comptabilitat,ca,100,introduction to accounting
matemàtiques 1,ca,100,mathematics 1
comptabilitat financera,ca,100,financial accounting
macroeconomia,ca,100,macroeconomia
matemàtiques 2,ca,100,mathematics 2
organització d'empreses,ca,100,organisation of companies
principis d'economia aplicada,ca,100,principles of applied economy
fonaments de màrqueting,ca,100,marketing releases
adaptació a l'economia i al marketing,ca,100,adaptation to economics and marketing
adaptació a l'enologia,ca,100,adaptation to oenology
adaptació a la geografia,ca,100,adaptation to geography
adaptació a la pràctica enològica,ca,100,adaptation to enological practice
adaptació al turisme,ca,100,adaptation to tourism
màrqueting enoturístic,ca,100,enoturistic marketing
patrimoni enoturístic: disseny d'experiències i eines d'interpretació,ca,100,enoturistic patrimony: design of experiences and interpretation tools
patrimoni vitivinícola i: història i territoris,ca,100,wine heritage and: history and territories
planificació i desenvolupament sostenible de l'enoturisme,ca,100,planification and sustainable development of wine tourism
producció de vins escumosos,ca,100,production of sparkling wines
digitalització a l'enoturisme,ca,100,digitalization to wine tourism
gestió d'empreses enoturístiques: cap a pràctiques sostenibles,ca,100,management of enoturistic companies: towards sustainable practices
patrimoni vitivinícola 2: cultures i mercats del vi,ca,100,wine heritage 2: cultures and wine markets
producció de vins dolços i de criança,ca,100,production of sweet and aging wines
pràctiques académiques externes en enoturisme,ca,57,external académic practices in wine tourism
"tipicitats del vi, maridatge, servei i tast",ca,100,"tipicities of wine, pairing, service and tasting"
bioètica i investigació en ciències dels cuidatges,ca,100,bioetics and research in the sciences of caring
epistemologia i marcs conceptuals per a la investigació en infermeria,ca,100,epistemology and conceptual frameworks for research in nursing
instruments de recerca bibliogràfica,ca,100,bibliographic research instruments
investigació avançada en cuidatges,ca,100,advanced research in caring
investigació en infermeria des de la perspectiva de gènere,ca,100,research in nursing from the gender perspective
investigació aplicada en l'educació per a la salut,ca,100,applied research in health education
investigació en cultura i cuidatge,ca,100,research in culture and caring
investigació en qualitat de vida i benestar emocional,ca,100,research on the quality of life and emotional well-being
"investigació, gestió i lideratge en cuidatges",ca,100,"research, management and leadership in care"
mètodes estadístics en data science,ca,100,statistical methods in data science
projectes en metodologia i innovació docent,ca,100,projects in methodology and teaching innovation
tècniques d'assessorament i coaching en la recerca i pràctica en infermeria,ca,100,advisory and coaching techniques in research and practice in nursing
ètica dels cuidatges,ca,100,ethics of caring
disseny de projectes de recerca i comunicació científica de resultats,ca,100,design of research projects and scientific communication of results
investigació i anàlisi quantitativa,ca,100,quantitative research and analysis
investigació qualitativa,ca,100,qualitative research
treball de fi de màster,ca,100,Final Masterwork
avaluació de mitjans i materials d'ensenyaments,ca,100,evaluation of media and teaching materials
comunicació audiovisual en xarxa,ca,100,Networked audiovisual communication
creació de continguts per a formació online,ca,100,content creation for online training
desenvolupament professional del docent en relació amb les td,ca,100,professional development of the teacher in relation to the td
difusió i transferència,ca,100,diffusion and transfer
disseny d'investigació,ca,100,investigative design
disseny de projectes d'innovació en educació,ca,100,design of innovation projects in education
disseny i desenvolupament d'entorns tecnològics per a la formació,ca,100,design and development of technological environments for training
disseny i desenvolupament de materials de formació,ca,100,design and development of training materials
eines digitals per a la docència,ca,100,digital tools for teaching
eines i tècniques per a la recollida i l'anàlisi de dades,ca,100,tools and techniques for data collection and analysis
entorns flexibles de formació,ca,100,flexible training environments
espais i eines per al treball col·laboratiu,ca,100,spaces and tools for collaborative work
gestió del coneixement en les organitzacions,ca,100,Knowledge management in organizations
les td en l'àmbit no formal,ca,100,td in the non-formal field
metodologia d'investigació en tecnologia educativa,ca,100,research methodology in educational technology
organització i gestió de l'ús de les td a l'ensenyament,ca,100,organization and management of the use of tds in teaching
"producció i integració d'imatge, àudio i vídeo digital",ca,100,"production and integration of image, audio and digital video"
pràctiques acadèmiques externes,ca,100,external academic practices
societat en xarxa i ciutadania digital,ca,100,Network society and digital citizenship
treball de fi de màster,ca,100,Final Masterwork
ètica digital aplicada,ca,100,applied digital ethics
"comunicació, interacció i col·laboració",ca,100,"communication, interaction and collaboration"
disseny de projectes curriculars amb l'ús de les td,ca,100,design of curriculum projects using tds
tecnologies digitals en la formació,ca,100,digital technologies in training
aportacions metodològiques del pensament jurídic,ca,100,methodological contributions of legal thought
contractació immobiliària,ca,100,Real Estate Contracting
contractació laboral nacional i internacional,ca,100,national and international employment contract
contractació mercantil,ca,100,mercantile contraction
dret concursal,ca,100,concursal place
dret de societats,ca,100,right of societies
paleontologia de mamífers: sistemàtica i  evolució,ca,100,mammalian pathology: systematics and evolution
prehistòria d'amèrica,ca,100,prehistory of America
prehistòria de la península ibèrica,ca,100,prehistory of the Iberian Peninsula
tecnologia lítica,ca,100,Lithic technology
zooarqueologia i tafonomia,ca,100,zoo archaeology and taphonomy
estructura i canvi social,ca,100,structure and social change
expressió oral i locució,ca,100,oral expression and locution
món actual,ca,100,present world
sistema jurídic-polític,ca,100,legal-political system
