id,original,detected_language,confidence,translated_text
601,,,,
602,,,,
603,,,,
604,,,,
605,"l’assignatura es centra en l’estudi del bilingüisme i el multilingüisme des de la perspectiva de la psicologia cognitiva. els continguts teòrics inclouran estudis sobre l’estructura i la dinàmica de la memòria bilingüe,  l’adquisició de noves llengües i com el fet de ser bilingües influencia  altres capacitats cognitives. la part pràctica de l’assignatura està enfocada a que els alumnes aprenguin a realitzar una investigació empírica sobre algun dels temes tractats a les sessions teòriques (definició del problema i les hipòtesis de recerca, disseny experimental, anàlisi de dades i comunicació dels resultats).",cat,0.985737681388855,"the subject centres  at the survey of the bilingualism and the multilingualism since the perspective of the cognitive psychology. the theoretic contents will include surveys on the structure and the dynamics of the bilingual memory,  the acquisition of new tongues and how the fact of bilingual being *influencia  other cognitive capacities. the practical part of the subject is focused at that the pupils learn at realising an empirical inquest on any of the motifs treated at the theoretic sessions (definition of the problem and the hypotheses of enquiry, experimental design, analysis of data and communication of the results)."
606,,,,
607,,,,
608,"aquesta assignatura optativa de la branca de salud-clínica pretén aprofundir en els coneixements teòric-pràctics per tal de realitzar un acurat procés d’avaluació clínica d’adults, aplicant la integració dels coneixements apressos en d'altres assignatures del grau.
es treballarà en el coneixement dels instruments i les tècniques d’avaluació més freqüentment utilitzats a l’avaluació clínica.
a les pràctiques es facilitarà l'adquisició de les destreses per integrar els resultats obtinguts de l'exploració en l'elaboració d'un informe clínic estructurat que descrigui a la persona avaluada, el seu estat, evolució i pronòstic.",cat,0.995481073856354,"this elective subject of the branch of *salud-clinical pretends to deepen at the theoretic kens-practical for such to realise an accurate process of clinical appraisal of adults, applying the integration of the kens *apressos at of other subjects of the rank.
it will work  at the ken of the instruments and the technicians of appraisal more frequently utilised at the clinical appraisal.
at the practices will facilitate  the acquisition of the artistries to integrate the results obtained of the exploration at the preparation of a clinical report structured that it describe at the person assessed, his state, evolution and prognosis."
609,,,,
610,donar els coneixements sobre els principals estadístics multivariats que es poden realitzar en una recerca psicològica mitjançant el programa spss.,cat,0.996023714542389,give the kens on the principal statisticians *multivariats that can realise  at a psychological enquiry by means of the program *spss.
611,,,,
612,,,,
613,introduir l'alumne en el coneixement dels processos emocionals bàsics i la seva implicació en la conducta ansiosa i d’estrès. tanmateix relacionar l'estrès amb la pràctica professional i el seu objecte de treball.,cat,0.992089629173279,introduce the pupil at the ken of the basic emotional processes and his implication at the eager behaviour and of stress. however relate the stress with the professional practice and his object of work.
