original,detected_language,confidence,translated_text
la descripció està disponible en castellà.,ca,100,the description is available in spanish.
la descripció està disponible en castellà.,ca,100,the description is available in spanish.
la descripció està disponible en castellà.,ca,100,the description is available in spanish.
la descripció està disponible en castellà.,ca,100,the description is available in spanish.
la descripció està disponible en castellà.,ca,100,the description is available in spanish.
la descripció està disponible en castellà.,ca,100,the description is available in spanish.
la descripció està disponible en castellà.,ca,100,the description is available in spanish.
la descripció està disponible en castellà.,ca,100,the description is available in spanish.
la descripció està disponible en castellà.,ca,100,the description is available in spanish.
"aquesta assignatura aborda l'estudi teòric pràctic de les relacions civils o privades de les persones. en concret, la matèria es divideix en una part general en què s'estudia l'efecte del temps en les relacions jurídiques, la bona fe, l'abús de dret i el frau de llei, i la representació, més cinc parts específiques que s'aborden qüestions de dret civil, que per la seva importància pràctica requereixen una atenció especial. 
així, en un primer bloc s'estudia la teoria general del contracte, fent especial referència als vicis del consentiment, la responsabilitat precontractual, la integració, la interpretació i tipificació contractual, i l'anul·labilitat, revocació i rescissió dels contractes per finalitzar amb una aproximació al dret de consum. 
al segon bloc s'aborda la responsabilitat civil dels professionals, amb especial atenció a la responsabilitat en circulació i en construcció. 
al tercer bloc s'estudia el dret immobiliari, notarial i registral, i els principals drets reals, fent especial referència a l'àmbit hipotecari i arrendatici, a la propietat i la seva protecció, a la propietat horitzontal, a la cessió de finca a canvi d'obra futura, ia l'usdefruit, servituds i els drets d'adquisició preferent. 
al quart bloc s'aborda l'estat civil i la capacitat de les persones, el matrimoni amb una atenció especial als processos o de separació i divorci. 
i en el cinquè i últim s'aborda l'àmbit successori estudiant tant la successió testada com la intestada i la llegítima.
les sessions de l'assignatura podran impartir-se en català o castellà, segons determini el professorat.",ca,100,"this subject addresses the practical theoretical study of civil or private relations of people. in particular, the subject is divided into a general part in which the effect of time on legal relations, good faith, abuse of law and fraud, and representation, more five specific parts that address issues of civil law, which by their practical importance require special attention.
thus, in a first block the general theory of the contract is studied, referring to the vices of consent, pre-contractual responsibility, integration, interpretation and contractual typing, and the annulability, revocation and termination of contracts to end with an approach to consumer law.
the second block addresses the civil responsibility of professionals, with particular attention to responsibility in circulation and construction.
the third block studies the real estate, notary and registration law, and the main real rights, making special reference to the mortgage and lease area, to the property and its protection, to the horizontal property, to the cession of property in exchange for future work, and to the usufruct, servitude and preferential acquisition rights.
the fourth block addresses the civil status and capacity of people, marriage with special attention to processes or separation and divorce.
and in the fifth and last, the successor field is approached by studying both the attested and the illegitimate succession.
the sessions of the subject may be taught in catalan or spanish, as determined by the teachers."
"l'assignatura treballa les diferents qüestions jurídiques bàsiques del dret constitucional (institucions, autonomies, drets fonamentals, sistema i garanties jurisdiccionals), del dret internacional (accés al tribunal europeu de drets humans, del dret de la unió europea (accés al tribunal de justícia de la unió europea) i de dret internacional privat (estrangeria, litigació internacional i dret interregional o interestatal espanyol) per a una complerta formació d’advocats i procuradors.
les sessions de l'assignatura podran impartir-se en català o castellà, segons determini el professorat.",ca,100,"the subject works on the different basic legal issues of constitutional law (institutions, autonomies, fundamental rights, system and jurisdictional guarantees), international law (access to the european court of human rights, the right of european union (access to the court of justice of the european union) and private international law (foreign, international litigation and interregional or interregional spanish law) for a full training of lawyers and procurators.
the sessions of the subject may be taught in catalan or spanish, as determined by the teachers."
"l'assignatura de pràctica processal civil té tres principals objectius. en primer lloc, analitzar els diferents tipus de judicis de caràcter civil existents en el nostre ordenament jurídic; en segon lloc, examinar les diferents activitats processals que es poden dur a terme en cadascuna de les etapes i fases dels procediments judicials civil, i, en tercer lloc, estudiar l’activitat professional dels advocats i procuradors en aquest ordre jurisdiccional. 
les sessions de l'assignatura podran impartir-se en català o castellà, segons determini el professorat.",ca,100,"the subject of civil procedural practice has three main objectives. firstly, to analyze the different types of civil trials existing in our legal order; secondly, to examine the different procedural activities that can be carried out in each of the stages and phases of civil judicial procedures, and thirdly to study the professional activity of lawyers and procurators in this jurisdictional order.
the sessions of the subject may be taught in catalan or spanish, as determined by the teachers."
"l'assignatura de pràctica processal general té tres principals objectius. en primer lloc, analitzar les garanties processal de caràcter constitucional; en segon lloc, examinar les institucions processals bàsiques del dret processal, i, en tercer lloc, estudiar mètodes alternatius de resolució de conflictes.
les sessions de l'assignatura podran impartir-se en català o castellà, segons determini el professorat.",ca,100,"the subject of general procedural practice has three main objectives. firstly, to analyze procedural guarantees of constitutional character; secondly, to examine the basic procedural institutions of procedural law, and thirdly to study alternative conflict resolution methods.
the sessions of the subject may be taught in catalan or spanish, as determined by the teachers."
